"DALKEITH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2067,,,,,,,,,,,
,,,,,,,,,,,,
,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,,
January,,,,3.25,4.40,3.38,0.70,1.03,,,,
February,,,,1.00,2.15,2.20,3.65,0.97,,,,
March,,,,1.05,0.38,0.12,1.33,1.83,,,,
April,,,,2.40,1.20,0.40,0.93,3.52,,,,
May,,,,1.53,1.60,1.25,0.40,0.65,,,,
June,,,,1.60,3.10,0.30,1.78,1.80,,,,
July,,,,1.20,1.60,6.18,2.90,2.35,,,,
August,,,,1.80,3.67,3.05,1.90,1.58,,,,
September,,,,4.42,2.35,2.83,1.67,1.75,,,,
October,,,,1.48,1.18,6.12,1.30,4.60,,,,
November,,,,3.17,1.23,3.45,1.20,1.80,,,,
December,,,,2.58,2.13,0.28,1.90,0.95,,,,
Total,,,,25.48,24.99,29.56,19.66,22.83,,,,
Calc annual,0.00,0.00,0.00,25.48,24.99,29.56,19.66,22.83,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,,
