"DALRY (LARROCH)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5016,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.85,13.38,7.72,6.76,6.99,6.57,10.81,6.26,16.53,3.71,10.81,
February,7.73,1.71,5.87,8.65,0.95,7.01,7.30,3.46,6.56,2.78,0.42,
March,9.84,11.96,2.28,3.33,1.29,0.89,4.88,5.87,8.59,1.47,3.62,
April,4.59,2.05,3.82,4.00,2.82,4.28,3.17,3.07,2.82,1.48,2.90,
May,8.23,3.67,3.74,2.48,4.25,5.71,3.58,3.45,2.07,5.69,2.62,
June,2.88,0.24,1.86,1.70,2.99,0.30,-999.00,5.90,7.58,2.96,3.24,
July,4.21,5.66,5.18,5.22,5.53,1.50,2.76,6.36,2.95,5.33,5.68,
August,4.27,6.77,4.48,10.81,4.66,4.40,5.28,7.09,8.66,6.93,9.21,
September,3.31,3.77,4.39,9.04,8.99,3.98,4.21,7.73,3.16,0.83,5.31,
October,4.83,4.63,3.49,9.75,4.82,6.71,7.11,7.36,11.48,7.90,11.21,
November,5.61,4.54,4.26,7.70,4.57,1.63,9.28,7.54,11.02,11.13,7.89,
December,8.08,10.30,7.09,4.09,11.17,4.18,2.37,2.15,7.42,16.85,7.46,
Total,72.43,68.68,54.18,73.53,59.03,47.16,63.22,66.24,88.84,67.06,70.37,
Calc annual,72.43,68.68,54.18,73.53,59.03,47.16,60.75,66.24,88.84,67.06,70.37,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,2.47,-0.00,0.00,0.00,0.00,
