"WALKHAMPTON LOWERY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,,,,,
February,,,,,,,,,,8.75,,
March,,,,,,,,,,2.00,,
April,,,,,,,,,,4.45,,
May,,,,,,,,,,3.90,,
June,,,,,,,,,,13.65,,
July,,,,,,,,,,7.00,,
August,,,,,,,,,,9.00,,
September,,,,,,,,,,6.90,,
October,,,,,,,,,,3.10,,
November,,,,,,,,,,0.40,,
December,,,,,,,,,,2.85,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
