"DARWEN (EARNSDALE RESERVOIR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2942,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,6.87,6.54,3.64,4.07,2.89,6.05,4.44,6.35,5.93,1.73,,
February,5.97,0.19,5.08,0.41,7.42,3.46,6.84,1.95,5.10,2.72,,
March,0.69,3.60,4.39,3.43,1.54,3.91,2.62,1.75,2.48,3.52,,
April,3.87,4.00,2.24,3.56,3.96,1.31,4.20,0.74,3.25,3.23,,
May,2.82,4.98,2.35,4.60,1.65,0.86,2.36,4.96,1.91,1.17,,
June,6.69,1.34,2.78,2.42,3.73,4.38,2.29,5.33,4.20,1.06,,
July,4.94,4.89,3.68,2.29,2.41,5.71,2.36,5.29,7.94,5.83,,
August,6.05,1.76,3.77,6.13,2.25,3.16,3.64,3.82,3.81,3.06,,
September,4.45,7.12,1.09,4.80,8.73,4.72,2.18,2.71,1.88,5.35,,
October,3.81,9.33,5.61,7.41,9.61,5.87,2.56,11.00,2.61,5.36,,
November,9.87,4.02,2.73,2.80,5.95,7.39,2.31,7.71,8.71,7.72,,
December,2.95,2.62,0.79,8.18,4.47,5.92,3.17,6.07,3.67,5.65,,
Total,58.98,50.39,38.15,50.10,54.61,52.74,38.97,57.68,51.49,46.40,,
Calc annual,58.98,50.39,38.15,50.10,54.61,52.74,38.97,57.68,51.49,46.40,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
