DERWENT VICARAGE NO 67A,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2691,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,6.77,4.73,2.54,4.20,3.00,4.12,6.93,5.95,7.35,,,
February,6.38,0.73,5.00,0.46,7.76,4.00,7.21,2.77,3.65,,,
March,0.19,2.90,3.36,4.45,1.94,3.08,3.79,1.30,3.80,,,
April,5.93,5.40,1.70,3.22,3.99,2.13,2.62,0.53,2.85,,,
May,2.26,5.10,1.75,2.46,0.60,2.31,3.35,3.11,2.50,,,
June,4.84,1.19,2.64,1.20,3.88,3.45,2.10,3.40,2.48,,,
July,4.56,4.64,2.24,3.03,1.69,4.84,3.67,5.23,7.05,,,
August,7.07,1.72,1.04,2.60,1.86,2.30,1.89,2.04,2.75,,,
September,5.46,3.68,1.68,3.49,6.58,6.03,1.78,3.06,2.40,,,
October,1.82,6.58,6.25,6.17,8.53,5.46,2.93,8.70,4.50,,,
November,5.37,3.76,3.04,2.82,6.82,5.57,2.06,5.90,8.35,,,
December,2.27,1.80,0.88,5.62,4.93,4.85,4.63,5.50,3.30,,,
Total,52.92,42.23,32.12,39.72,51.58,48.14,42.96,47.49,50.98,,,
Calc annual,52.92,42.23,32.12,39.72,51.58,48.14,42.96,47.49,50.98,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,NaN,,
