"DOLLGELLEY (DOL RHYD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4342,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.44,7.56,11.52,,,,,,,,,
February,5.25,2.95,4.84,,,,,,,,,
March,4.87,3.55,1.85,,,,,,,,,
April,2.50,4.03,2.84,,,,,,,,,
May,4.41,6.36,6.37,,,,,,,,,
June,0.88,0.49,5.19,,,,,,,,,
July,3.47,6.72,4.34,,,,,,,,,
August,7.11,6.21,5.00,,,,,,,,,
September,1.96,5.48,6.32,,,,,,,,,
October,6.13,7.70,5.97,,,,,,,,,
November,4.92,1.09,4.77,,,,,,,,,
December,4.60,7.82,1.38,,,,,,,,,
Total,48.54,59.96,60.39,,,,,,,,,
Calc annual,48.54,59.96,60.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
