CAMPSALL CAMPSMOUNT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6043,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,3.47,1.17,,,,,,,
February,,,,0.73,1.05,,,,,,,
March,,,,2.47,1.60,,,,,,,
April,,,,2.63,0.52,,,,,,,
May,,,,1.93,1.30,,,,,,,
June,,,,0.88,1.95,,,,,,,
July,,,,0.64,3.16,,,,,,,
August,,,,1.10,2.02,,,,,,,
September,,,,2.17,0.84,,,,,,,
October,,,,3.68,2.35,,,,,,,
November,,,,2.03,2.86,,,,,,,
December,,,,1.29,4.70,,,,,,,
Total,,,,23.02,23.52,,,,,,,
Calc annual,0.00,0.00,0.00,23.02,23.52,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
