"GLASNEVIN BOTANIC GARDENS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,2.95,3.17,3.13,2.00,1.89,0.34,4.27,1.78,1.75,,
February,,1.16,2.26,0.38,2.27,2.83,3.17,1.73,1.69,3.23,,
March,,0.69,3.16,2.17,1.12,0.89,2.18,3.57,1.31,1.77,,
April,,2.65,2.96,0.62,1.34,0.76,2.38,4.31,3.05,1.82,,
May,,0.26,2.47,1.10,1.51,0.93,1.09,1.99,4.95,2.13,,
June,,1.87,3.55,1.15,0.23,3.55,1.57,1.17,4.92,3.73,,
July,,5.25,1.37,3.14,2.67,2.87,1.49,3.03,0.79,4.14,,
August,,1.36,4.76,4.26,4.24,1.96,2.39,4.05,4.89,3.54,,
September,,3.79,2.84,2.32,1.82,3.26,3.57,1.28,1.85,2.37,,
October,,2.62,3.47,3.37,2.58,7.14,4.23,2.11,1.87,1.18,,
November,,1.20,3.36,2.32,3.09,4.70,3.68,2.71,1.38,1.34,,
December,,1.26,4.83,0.67,3.42,1.40,6.21,2.34,1.57,1.00,,
Total,22.00,25.06,38.20,24.63,26.29,32.18,32.30,32.56,30.05,28.00,,
Calc annual,0.00,25.06,38.20,24.63,26.29,32.18,32.30,32.56,30.05,28.00,,
Difference,22.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
