"DUFFIELD KIRKSTYLES",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2663,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.29,2.91,3.78,1.53,2.60,2.23,4.05,2.62,6.56,1.56,4.54,
February,2.46,0.38,3.23,4.48,0.76,3.55,3.81,2.15,3.04,0.61,0.77,
March,1.92,1.52,2.30,1.71,1.29,1.02,1.36,3.31,2.65,0.34,3.60,
April,4.87,1.09,2.74,1.95,2.41,1.85,1.89,2.58,1.47,1.20,3.89,
May,2.93,2.22,1.18,2.92,3.62,5.46,3.49,1.54,1.24,2.51,2.87,
June,2.40,0.32,0.76,0.50,2.65,0.04,2.40,5.33,3.94,1.34,1.76,
July,5.15,0.62,3.86,4.30,3.29,1.86,2.47,4.24,1.51,1.81,6.73,
August,1.20,4.97,5.55,3.26,3.70,3.53,2.39,4.24,3.89,2.84,3.09,
September,1.89,0.85,2.48,2.57,3.12,4.30,1.69,5.21,0.52,0.50,5.44,
October,1.75,2.86,0.64,2.05,4.46,4.65,2.82,3.38,4.74,4.13,3.86,
November,1.01,1.62,0.96,2.58,1.74,2.17,4.50,3.98,3.86,6.21,4.35,
December,3.21,2.73,4.06,3.36,2.99,2.68,1.16,2.93,2.33,4.71,2.97,
Total,32.08,22.09,31.54,31.21,32.63,33.34,32.03,41.51,35.75,27.76,43.87,
Calc annual,32.08,22.09,31.54,31.21,32.63,33.34,32.03,41.51,35.75,27.76,43.87,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,
