"EXBRIDGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2108,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,4.79,5.29,8.74,4.67,4.02,3.20,4.16,9.92,1.58,1.80,,
February,4.32,0.42,2.79,1.38,4.78,5.46,1.16,2.34,2.21,9.30,,
March,5.13,2.91,1.66,0.27,1.17,1.35,5.56,2.10,2.16,1.90,,
April,1.01,1.71,1.11,2.45,0.79,3.38,3.79,3.30,2.42,3.20,,
May,2.33,6.24,3.16,1.07,4.67,4.50,3.53,4.42,3.60,2.00,,
June,1.42,0.71,2.03,3.47,4.24,3.36,3.09,2.11,0.63,2.20,,
July,1.76,2.00,2.75,2.64,2.98,2.47,2.30,2.02,2.46,5.50,,
August,6.15,6.20,4.42,3.11,2.26,5.69,1.06,5.11,3.08,6.90,,
September,0.76,3.22,4.11,4.18,3.13,5.90,2.42,2.38,3.21,6.80,,
October,3.20,3.94,4.23,7.34,5.76,1.50,0.79,5.34,8.92,1.80,,
November,3.55,1.20,4.22,8.14,1.58,7.73,4.08,2.81,5.27,9.40,,
December,3.17,5.86,3.22,5.72,6.71,5.22,4.76,6.48,4.06,4.20,,
Total,37.59,39.70,42.44,44.44,42.09,49.76,36.70,48.33,39.60,55.00,,
Calc annual,37.59,39.70,42.44,44.44,42.09,49.76,36.70,48.33,39.60,55.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
