"DUNGANNON (ALOHA)",,,,,,,,,,,,
Grid ref,IH807614,Long,-6.755151,Lat,54.494745,,,,,,,
Station no,6249,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.59,5.19,1.62,2.68,3.77,2.97,4.82,3.60,2.42,3.77,,
February,3.26,0.82,1.20,4.90,3.00,1.43,2.00,4.09,1.07,2.87,,
March,3.31,2.01,0.53,3.32,1.08,2.27,3.37,2.27,3.17,3.07,,
April,2.03,1.52,1.38,0.71,3.06,1.24,1.52,1.74,3.82,2.25,,
May,2.07,1.16,1.73,4.24,3.30,1.14,2.31,2.20,1.25,3.17,,
June,2.94,2.85,2.09,2.99,5.47,2.45,2.03,7.08,3.07,3.03,,
July,4.03,1.43,5.41,4.36,1.40,4.29,4.22,5.61,3.06,4.67,,
August,5.20,5.06,4.09,2.75,0.94,6.91,4.18,4.52,0.92,5.23,,
September,3.51,1.12,3.44,4.98,4.09,3.37,4.51,3.51,1.51,3.12,,
October,1.16,5.70,2.23,7.10,2.47,2.32,3.74,3.13,4.53,4.23,,
November,5.63,2.75,3.47,5.36,2.01,2.24,1.18,2.62,4.28,4.07,,
December,4.88,4.92,3.54,4.80,4.76,5.10,5.27,5.27,5.51,4.16,,
Total,41.61,34.53,30.73,48.19,35.35,35.73,39.15,45.64,34.61,43.64,,
Calc annual,41.61,34.53,30.73,48.19,35.35,35.73,39.15,45.64,34.61,43.64,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
