EAST LISS NEWLANDS,,,,,,,,,,,,
Grid ref,SU803282,Long,-0.855852,Lat,51.047547,,,,,,,
Station no,RR7953,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.12,1.70,1.20,3.00,6.21,1.04,8.23,1.19,,,,
February,6.67,1.99,1.77,2.44,4.47,0.71,3.69,1.99,,,,
March,0.90,2.68,2.44,4.48,1.58,5.41,1.69,1.30,,,,
April,1.10,2.97,1.65,2.68,1.66,1.49,0.70,4.91,,,,
May,1.66,0.74,2.60,3.21,3.39,0.65,2.68,2.69,,,,
June,4.02,2.00,3.83,3.35,0.80,6.16,1.87,2.87,,,,
July,1.28,3.13,1.23,3.17,2.30,1.18,0.47,1.68,,,,
August,2.91,1.61,4.21,4.86,2.84,3.19,1.19,2.69,,,,
September,1.08,1.90,0.98,3.90,2.20,2.35,2.39,0.56,,,,
October,2.86,2.83,2.61,9.49,2.91,2.14,5.60,6.90,,,,
November,3.08,0.79,3.79,2.30,1.48,4.91,5.77,2.84,,,,
December,4.90,5.50,2.11,3.80,3.81,0.92,2.42,4.15,,,,
Total,34.58,27.84,28.42,46.68,33.65,30.15,36.70,33.77,,,,
Calc annual,34.58,27.84,28.42,46.68,33.65,30.15,36.70,33.77,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
