EAST-LISS-THE-LODGE,,,,,,,,,,,,,,,,,,,
Grid ref,SU772283,Long,-0.89928,Lat,51.04889,Elevation,240,ft,,,,,,,,,,,
Station no,RR7577,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,5.76,0.72,5.8,2.11,1.49,4.62,6.39,5.01,3.49,5.61,2.1,,,,,,,
February,,1.36,6.57,6.11,6.05,1.04,2.54,3.02,0.76,0.16,4.28,6.99,,,,,,,
March,,3.9,5.88,1.2,4.58,2.69,1.53,5.86,2.46,1.73,3.21,1.96,,,,,,,
April,,3.61,1.65,1.7,1.2,2.35,2.79,2.73,4,1.27,4.56,4.21,,,,,,,
May,,2.57,1.21,4.44,2.01,2.06,1.63,0.41,1.43,2.13,1.02,2.66,,,,,,,
June,,0.42,0.7,1.84,2.21,2.92,1.03,0.79,1.72,0.2,1.71,0.37,,,,,,,
July,,1.81,3.92,4.36,0.97,4.42,4.49,1.87,6.73,0.31,5.06,1.43,,,,,,,
August,,1.36,2.5,1.8,3.89,6.55,1.35,3.5,1.95,3.62,3.02,3.31,,,,,,,
September,,3.63,1.71,2.63,2.74,2.11,6.9,1.82,2.32,1.04,1.76,2.04,,,,,,,
October,,5.04,2.53,3.74,6.73,4.89,1.6,0.54,4.03,0.86,1.39,7.36,,,,,,,
November,,3.38,4.23,3.65,5.51,1.36,3.34,2.93,1.93,2.48,2.42,2.29,,,,,,,
December,5.12,2.11,11.21,8.98,4.14,1.71,3.07,7.05,4.04,2.74,5.89,4.34,,,,,,,
Total,,34.95,42.83,46.25,42.14,33.59,34.89,36.91,36.38,20.03,39.93,39.06,,,,,,,
,,,,,,,,,,,,,,,,,,,
The Lodge Nr Oakleigh and Blue Bell Inn,,,,,,,,,,,,,,,,,,,
1912 Gauge moved from Berry Grove ,,,,,,,,,,,,,,,,,,,
Gauge moved to Hindhead Beacon Hill School but no obs taken,,,,,,,,,,,,,,,,,,,
