EDALE-DALE-HEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SK101842,Long,-1.849723,Lat,53.354589,Elevation,1015,ft.,,,,,,,,,,,,
Station no,RR7841,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.64,2.44,4.14,2.66,5.97,2.28,6.23,5.54,4.3,,,,,
February,,,,,,,4.49,3.07,5.86,4.53,5.54,4.69,1.79,1.61,3.17,,,,,
March,,,,,,,4.27,4.64,5.1,4.68,1.19,3.04,5.56,6.59,7.03,,,,,
April,,,,,,,2.28,3.37,3.52,2.99,6.23,3.7,1.77,4.92,2.26,,,,,
May,,,,,,,4.32,4.59,3.81,2.61,3.52,1.88,3.84,3.27,3.92,,,,,
June,,,,,,,1.84,7.68,2.21,3.5,3.65,4.09,5.56,3.46,3.43,,,,,
July,,,,,,,3.4,3.72,4.57,6.88,7.2,0.63,7.56,1.72,5.63,,,,,
August,,,,,,,3.88,5.56,4.49,3.31,6.9,2.75,11.34,2.58,3.86,,,,,
September,,,,,,,1.89,0.87,4.04,3.83,0.49,2.84,3.91,2.24,3.86,,,,,
October,,,,,,,6.64,6.02,1.63,7.37,3.07,3.53,4.18,4.28,2.97,,,,,
November,,,,,,,5.67,4.68,4.42,2.17,6.83,4.77,3.72,4.62,6.77,,,,,
December,,,,,,,6.29,4.05,4.12,9.94,7.87,9.01,6.97,3.94,8.03,,,,,
Total,,,,,,,51.61,50.69,47.91,54.47,58.46,43.21,62.43,44.77,55.23,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Dalehead in Edale Valley. Altitudes match,,,,,,,,,,,,,,,,,,,,
