"EDENBRIDGE FALCONHURST",,,,,,,,,,,,
Grid ref,TQ470426,Long,0.100992,Lat,51.163766,,,,,,,
Station no,338,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.66,1.12,0.97,2.58,4.99,1.44,4.93,1.80,2.20,1.52,,
February,6.10,1.87,1.57,1.74,3.89,0.88,2.96,1.45,1.43,0.44,,
March,1.17,2.50,1.78,3.13,1.93,4.25,1.91,0.98,2.98,4.85,,
April,1.34,2.58,1.11,2.31,1.33,2.72,1.13,2.98,2.85,1.70,,
May,1.24,0.66,3.36,2.31,3.28,1.03,1.84,2.51,2.23,1.53,,
June,3.45,1.39,3.86,4.84,1.28,4.49,2.64,1.71,1.64,3.00,,
July,1.15,1.93,1.84,5.37,1.26,0.34,2.06,1.57,3.13,2.90,,
August,2.76,1.72,4.25,4.08,1.79,3.32,1.15,2.63,4.81,2.46,,
September,1.55,1.65,1.69,3.33,1.94,2.59,1.63,0.53,2.92,3.30,,
October,2.24,3.38,2.63,7.83,2.51,2.01,6.32,4.89,2.23,6.26,,
November,4.09,0.83,2.17,1.49,1.86,5.06,6.32,2.58,1.13,1.16,,
December,4.05,4.34,1.85,2.62,3.61,0.81,2.64,3.00,3.37,4.27,,
Total,32.80,23.97,27.08,41.63,29.67,28.94,35.53,26.63,30.92,33.39,,
Calc annual,32.80,23.97,27.08,41.63,29.67,28.94,35.53,26.63,30.92,33.39,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
