ELTERWATER HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY329042,Long,-3.035807,Lat,54.428778,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,12.41,7.98,7.98,13.75,12.35,6.33,14.54,5.56,12.76,8.96,12.63,7.61,9.78,11.2,8,10.16,15.29,5.62,12.23,12.8,15.41,,,,,,,,,,
February,8.22,2.42,4.2,16.25,7.79,6.24,8.07,8.28,6.27,9.08,15.42,16.54,6.8,8.59,12.57,14.55,8.13,2.11,16.24,1.81,12.29,,,,,,,,,,
March,0.65,5.08,5.84,14.24,6.81,7.92,7.13,10.34,8.34,5.98,6.24,5.31,14.02,11.84,10.41,4.61,1.17,5.52,3.42,8.71,12.32,,,,,,,,,,
April,6.52,5.05,4.45,3.62,11.42,8.66,2.9,3.78,3.46,5.58,5.63,6.9,2.67,8.91,3.14,6.1,4.2,4,1.17,3.97,8.47,,,,,,,,,,
May,4.55,1.56,3.98,5.1,4.25,3.18,10.15,7.84,6.2,3.78,4.88,5.86,4.08,4.64,4.47,1.53,6.48,5.27,2.29,2.56,9.07,,,,,,,,,,
June,6.26,3.93,1.14,2.96,3,4.1,3.03,10.73,4.15,2.98,2.08,6.79,8.95,7.19,1.51,2.76,3.99,4.21,3.06,2.8,3.43,,,,,,,,,,
July,2.49,1.5,4.4,7.1,4.42,3.27,5.06,3.36,5.77,10.54,5.69,1.44,6.96,0.94,5.4,8.07,3.85,2.84,7.14,2.08,8.65,,,,,,,,,,
August,8.82,8.62,5.62,12.3,7.01,7.82,8.6,9.12,8.88,4.68,12.02,6.75,9.87,3.89,5.82,3.64,3.28,14.35,6.72,5.54,5.57,,,,,,,,,,
September,6.78,5.12,4.13,8.59,5.24,6.01,3.36,1.57,10.43,4.87,0.74,6.89,3.71,3.07,4.49,1.51,3.19,9.37,16.71,10.44,5.39,,,,,,,,,,
October,11.11,8.94,9.76,19.66,5.64,6.64,14.25,10.85,4.12,16.42,5.43,8.82,9.04,4.99,2.93,2.74,17.66,14.27,11.08,2.62,3.79,,,,,,,,,,
November,8.44,15.06,7.06,6.73,10.64,10.59,10.14,8.4,8.58,6.58,8,14.92,9.87,11.33,17.74,4.62,14.16,10.16,6.48,6.85,,,,,,,,,,,
December,17.63,11.94,11.85,8,10.2,8.92,7.76,14.9,8.55,14.76,13.8,18.56,16.38,9.93,14.13,15.57,9.35,5.85,14.99,17.73,,,,,,,,,,,
Total,93.88,77.2,70.41,118.3,88.77,79.68,94.99,94.73,87.51,94.21,92.56,106.39,102.13,86.52,90.61,75.86,90.75,83.57,101.53,77.91,,,,,,,,,,,
