FARNHAM-WEST-STREET-OBSERVER-LONGHURST,,,,,,,,,,,,,,,,,,,,
Grid ref,SU834466,Long,-0.80738644,Lat,51.212524,Elevation,250,ft.,,,,,,,,,,,,
Station no,RR8473,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.92,0.89,2.59,1.24,,,,,,,,
February,,,,,,,,,0.99,0.48,3.29,1.47,,,,,,,,
March,,,,,,,,,2.72,3.55,1.04,,,,,,,,,
April,,,,,,,,,3.63,1.85,1.91,,,,,,,,,
May,,,,,,,,,1.86,1.63,2.15,,,,,,,,,
June,,,,,,,,,0.97,4.18,4.56,,,,,,,,,
July,,,,,,,,,1.81,2.64,2.81,,,,,,,,,
August,,,,,,,,,4.07,1.64,2.62,,,,,,,,,
September,,,,,,,,,1.6,3.41,0.39,,,,,,,,,
October,,,,,,,,,2.76,5.18,3.18,,,,,,,,,
November,,,,,,,,,0.86,0.45,3.23,,,,,,,,,
December,,,,,,,,,2.54,3.81,4.46,,,,,,,,,
Total,,,,,,,,,25.73,29.71,32.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on West Street at the stated relationship to station and church.,,,,,,,,,,,,,,,,,,,,
Gauge moved to High Park Road in March 1911,,,,,,,,,,,,,,,,,,,,
