NORTH BERWICK FIDRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT512869,Long,-2.78549,Lat,56.072422,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,1.55,0.59,0.75,0.1,1.21,0.31,0.15,0.2,0.35,1.95,0.66,1.08,0.66,4,3.05,0.5,0.8,3.3,0.8,0.2,1.3,0.1,2.7,0.3,0.65,1.1,0.16,1.8,1.55,0.4,1.2,,,,0.48,3.12,1.95,0.16,1.05,1.63,,,,,
February,,,,,,,0.3,0.29,2.4,0.25,0.8,0,1.42,2.17,2.78,0.55,0.76,0.29,0.52,1.4,3.4,1.1,0.85,3.18,2.7,0.4,0.3,0.2,0.12,0.9,1.15,1.3,0.21,0.7,1.45,0.9,1.2,,,,0.4,0.32,1.71,1.47,0.32,2.72,,,,,
March,,,,,,,1.03,0.95,4.25,0.7,1.89,2.8,,0.52,0.25,3,1.32,2.58,0.5,0.9,1.2,1,0.9,0.74,0.95,1.3,0.7,0.3,2.27,3,1,1.05,0.36,1.75,1.45,0.6,1.45,,,,0.71,0.83,0.5,,0.18,1.69,,,,,
April,,,,,,,0.43,0.9,1.25,2.12,,0.35,0.45,0.75,1.25,1.05,0.85,0.86,2.1,3.75,0.47,0.55,0.85,0.35,0.75,0.9,0.4,0.2,1,2.65,2.1,0.7,0.02,1.15,0.75,0.75,0.55,,,,0.61,0.12,0.21,0.12,0.19,1.84,,,,,
May,,,,,,2.35,2.25,1.02,0.15,1.35,1.5,1.13,1.56,1.3,3.25,0.46,0.67,0.4,1.6,4.3,0.5,2,1.05,0.6,3.15,0.5,5.8,1.7,2.6,1.33,1.35,0.5,0.14,2.6,1.6,1.15,1.15,,,,1.05,0.38,0.05,0.55,1.78,3.09,,,,,
June,,,,,,0.45,0.98,0.32,1.95,0.25,3.52,0.23,2.95,1.75,1.9,1.35,2.6,2.35,0.95,0.9,1.9,0.7,2.6,1.8,1.4,,0.2,2.3,0.3,1.4,1.09,1.7,3.6,0.77,0.75,1.7,0.95,,,,0.14,0.11,,0.42,1.09,0.19,,,,,
July,,,,,,0.9,0.85,1.75,4.3,2.43,2.3,2.47,0.7,2.45,3.35,3.8,4.05,2.75,0.6,3.6,2.8,0.1,1.95,4.55,0.9,,0.2,0.7,2,2.25,2.6,0.9,1.6,0.4,0.8,2.1,1.2,,,,1.65,0.27,0.17,0.25,1.93,0.89,,,,,
August,,,,,,2,0.55,1.3,1.14,4.63,2.75,5.07,1.47,2.1,3.97,2.99,3.28,3.7,3.85,0.4,3.9,4.3,2.25,2.91,4.2,1.7,6.19,1,0.8,1.95,5.95,0.19,4.85,1.15,0.75,1.6,0.95,,,,3.32,3.18,0.16,1.2,1.56,1.5,,,,,
September,,,,,,1.85,1.19,3,0.62,0.55,0.45,3.25,0.75,1.14,0.55,0.65,3.35,2.23,1.1,1.4,1,0.45,4.2,2.79,1.6,0.6,0.1,0.6,4.45,1.05,1.13,0.17,1.1,1.7,0.3,0.8,0.65,,,,0.61,0.58,0.15,1.07,2.1,2.28,,,,,
October,,,,,,1.05,0.65,1.45,0.52,1.78,2.45,1.32,3.92,1.6,2.3,2.63,2.65,0.95,5.1,2.8,3.4,1.6,0.24,5.75,0.8,1,2.7,6.6,1.5,2,3.4,0.17,4.05,1.9,0.55,0.65,,,,,0.45,1.51,1.2,0.97,1.06,0.92,,,,,
November,,,,,,1.25,1.5,3.9,3.9,0.15,3.64,1.5,1.05,1,1.4,1.21,1.1,1.6,2.35,1.4,4.7,2.95,0.19,0.8,0.5,3.4,3.2,1.12,0.35,0.3,2.65,1.29,0.7,0.9,1.45,0.25,,,,,0.82,0.72,0.37,0.89,0.81,0.92,,,,,
December,,,,,,0.15,1.55,1.3,0.05,0.15,2.14,3.93,0.6,0.86,1.15,1.82,4.7,2.03,0.45,2.6,2.6,2.45,3.3,0.85,1.9,0.4,0.1,4.2,0.2,2.65,1.43,0.37,2.35,1.2,1.2,1.2,,,,,0.87,0.73,0.24,1.02,2.45,2.3,,,,,
Total,,,,,,,12.83,16.77,21.28,14.46,,22.36,,15.84,22.5,21.46,25.99,20.82,19.78,27.45,28.92,17.7,19.18,27.62,19.65,,21.19,19.02,18.29,19.78,24.5,9.44,19.14,16.02,12.6,12.1,,,,,11.11,11.87,,,14.52,19.97,,,,,
Numerous refs to NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
