"FORRES H.R.S., ELGIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ029588,Long,-3.626738,Lat,57.608707,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,0.87,0.62,2.06,1.26,3.36,1.07,2.19,1.15,1.7,0.51,2.54,1.61,2.4,1.87,1.61,3.14,1.28,1.22,1.65,2.56,3.09,1.41,,,,,,,,
February,0.98,2.03,1.44,1.47,0.94,2.35,0.92,0.93,1.16,2.89,0.4,1.41,2.27,2.3,3.71,0.83,0.34,0.62,2.66,1.28,2.95,2.22,,,,,,,,
March,1.14,1.92,3.04,1.85,1.05,1.63,0.85,0.89,3.39,1.1,2,1.59,1.29,0.35,1.23,2.74,1.7,1.42,2.17,2.58,2.09,1.63,,,,,,,,
April,1.15,0.67,2.96,1.03,0.49,0.65,1.1,1.81,1.35,2.18,0.72,0.21,0.91,0.95,0.53,1.38,1.3,0.7,1.12,3.45,1.65,1.39,,,,,,,,
May,0.45,1.78,1.58,0.87,1.11,1.62,3.58,1.61,0.97,0.45,0.56,2.5,2.13,1.19,3.22,1.1,1.3,1.04,2.44,2.65,1.12,1.2,,,,,,,,
June,1.2,1.64,2.25,0.78,1.04,1.68,1.05,0.44,1.27,0.32,1.81,0.43,1.18,2.34,1.38,3.66,3.13,2.77,1.24,1.17,1.28,2.48,,,,,,,,
July,3.4,4.26,2.19,4.38,1.45,0.74,2.17,1.95,3.06,1.46,3.88,5.84,3.01,3.01,5.41,2.37,3.06,0.72,1.57,2.82,2.79,3.75,,,,,,,,
August,0.1,2.77,3.07,3.96,1.18,2.9,1.12,1.47,1.35,4.73,4.55,2.45,2.5,3.19,3.9,2.9,1.96,2.49,1.82,1.59,3.49,2.6,,,,,,,,
September,1.21,1.75,5.28,2.78,0.54,3.07,2.29,4.49,1.28,0.98,2.46,1.27,2.1,4.03,0.78,1.59,3.83,1.99,2.82,3.33,1.9,1.2,,,,,,,,
October,3.52,3.29,1.24,1.03,2.8,2.13,1.75,3.14,2.98,2.39,2.88,0.49,5.1,3.65,1.77,4.6,2.92,1,2.21,0.89,3.22,,,,,,,,,
November,3.62,1.94,2.54,1.52,2.45,0.93,2.53,2.5,2.85,1.54,2.83,1.16,1.13,2.82,0.29,0.91,1.22,1.43,1.98,2,2.47,,,,,,,,,
December,3.01,0.99,3.49,2.07,1.59,1.78,2.17,1.98,0.82,1.25,0.51,1.62,1.34,1.2,1.36,2.5,2.5,2.28,3.51,4.59,3.6,,,,,,,,,
Total,20.65,23.66,31.14,23,18,20.55,21.72,22.36,22.18,19.8,25.14,20.58,25.36,26.9,25.19,27.72,24.54,17.68,25.19,28.91,29.65,,,,,,,,,
