"FORRES (DRUMDUAN)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5683,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,3.14,2.33,1.40,1.25,1.72,3.48,2.20,2.25,2.88,1.01,,
February,1.86,0.46,2.82,0.73,1.75,1.00,1.95,0.94,1.10,0.61,,
March,1.25,3.53,0.50,2.40,1.46,0.73,1.92,0.78,2.06,3.03,,
April,2.49,3.48,2.12,3.71,3.41,0.76,0.35,0.50,1.17,1.25,,
May,2.75,2.41,0.79,2.29,1.83,1.05,1.11,2.57,0.79,1.59,,
June,2.95,0.26,2.14,1.48,2.32,1.86,2.71,3.31,1.62,1.33,,
July,5.55,3.44,3.45,3.74,1.72,5.38,3.33,4.02,5.22,9.08,,
August,2.10,2.36,2.05,2.13,2.87,2.99,2.72,2.38,2.45,1.36,,
September,1.98,3.79,1.03,0.98,4.81,2.16,1.59,3.19,1.21,2.05,,
October,2.50,5.50,4.61,3.06,4.57,2.08,2.40,3.78,1.93,2.75,,
November,1.91,2.97,1.32,1.16,2.25,1.18,0.87,2.46,2.32,4.26,,
December,1.53,1.34,0.46,1.75,1.79,1.80,1.66,1.22,2.27,2.34,,
Total,30.01,31.87,22.69,24.68,30.50,24.47,22.81,27.40,25.02,30.66,,
Calc annual,30.01,31.87,22.69,24.68,30.50,24.47,22.81,27.40,25.02,30.66,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
