FOSS (DOMNAHUICH),,,,,,,,,,,,
Grid ref,NN792579,Long,-3.974261,Lat,56.697148,,,,,,,
Station no,5560/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.59,3.19,1.10,4.20,2.04,3.57,6.84,4.10,2.90,4.22,,
February,2.85,0.91,1.21,4.12,2.41,1.63,4.30,2.86,1.03,4.10,,
March,2.07,2.82,1.06,3.12,1.62,5.08,3.35,1.43,3.34,2.21,,
April,3.49,1.30,2.21,1.10,0.88,1.15,1.28,1.12,3.28,4.75,,
May,1.47,3.10,2.62,4.75,2.17,1.93,2.12,3.10,1.03,2.57,,
June,1.07,2.57,1.66,1.48,1.09,3.34,1.28,3.36,2.29,1.80,,
July,2.28,1.47,3.24,1.74,0.99,4.14,4.94,4.00,4.22,1.92,,
August,5.25,2.62,1.35,3.30,1.02,4.02,5.06,4.42,1.94,2.96,,
September,2.27,1.73,3.88,3.49,2.18,5.59,2.68,4.19,0.81,2.56,,
October,1.18,5.32,2.08,6.13,3.13,2.74,2.07,3.85,5.68,5.17,,
November,10.58,1.80,5.87,10.39,2.04,1.98,1.71,0.91,5.41,4.28,,
December,6.44,2.54,5.38,9.30,7.24,9.05,6.11,5.30,10.09,4.72,,
Total,42.54,29.37,31.66,53.12,26.81,44.22,41.74,38.64,42.02,41.26,,
Calc annual,42.54,29.37,31.66,53.12,26.81,44.22,41.74,38.64,42.02,41.26,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
