"FROME (SELWOOD SCHOOL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1958,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.63,3.23,2.52,2.72,0.92,4.36,5.15,3.59,5.37,2.95,,
February,2.26,0.07,3.67,0.16,3.07,2.61,6.59,0.96,1.80,2.91,,
March,0.79,2.10,3.68,2.54,1.03,2.82,3.98,0.09,1.32,2.25,,
April,2.30,2.98,1.24,2.12,4.86,2.31,2.64,0.09,3.44,2.11,,
May,2.78,4.70,2.13,1.19,1.74,0.53,2.73,1.52,0.84,1.71,,
June,2.42,1.45,1.69,1.80,3.57,3.63,1.65,1.59,2.43,0.60,,
July,4.14,4.37,3.46,2.15,0.52,5.96,2.52,3.05,6.08,3.36,,
August,5.02,1.16,1.41,2.71,1.74,0.50,0.95,3.83,4.02,0.27,,
September,1.77,4.22,2.02,3.14,5.97,4.12,2.49,2.95,0.88,1.82,,
October,0.81,6.69,2.74,2.33,4.44,2.19,4.15,5.38,3.15,4.23,,
November,3.95,2.08,0.57,1.45,6.87,3.10,1.84,4.92,7.61,9.31,,
December,1.14,1.84,0.65,8.26,4.11,3.16,3.05,4.46,2.57,1.92,,
Total,30.01,34.89,25.78,30.57,38.84,35.29,37.74,32.43,39.51,33.44,,
Calc annual,30.01,34.89,25.78,30.57,38.84,35.29,37.74,32.43,39.51,33.44,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
