"NANTGWILLT VILLAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,5.38,11.50,9.49,7.56,10.16,2.72,10.58,6.83,3.53,,
February,,3.84,7.87,1.89,5.52,1.75,8.57,7.66,3.18,7.05,,
March,,2.96,5.93,4.52,3.46,1.66,6.66,4.56,3.41,4.00,,
April,,6.21,3.71,2.32,3.14,2.75,5.31,4.70,3.22,2.60,,
May,,0.84,3.03,3.50,1.78,3.64,1.17,5.83,6.83,3.48,,
June,,2.93,6.79,2.68,2.23,6.35,2.12,3.91,4.72,8.89,,
July,,6.45,5.52,4.80,2.42,7.26,2.97,7.05,1.36,7.88,,
August,,3.56,4.32,6.72,8.61,4.63,6.18,6.96,8.91,8.16,,
September,,5.84,8.60,4.01,6.81,6.56,8.25,3.38,4.81,5.27,,
October,15.00,8.06,10.88,5.77,7.33,8.89,6.84,6.67,9.17,2.80,,
November,,1.90,14.13,5.00,7.11,8.12,6.12,9.50,5.61,1.51,,
December,,4.71,11.58,2.60,7.12,3.54,12.12,5.33,5.71,4.96,,
Total,50.10,52.68,93.86,53.30,63.09,65.31,69.03,76.13,63.76,60.13,,
Calc annual,15.00,52.68,93.86,53.30,63.09,65.31,69.03,76.13,63.76,60.13,,
Difference,35.10,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
