GIGGLESWICK (BELFIELD),,,,,,,,,,,,
Grid ref,SD814644,Long,-2.285752,Lat,54.075187,,,,,,,
Station no,3091/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.43,4.35,1.47,4.33,2.76,4.96,5.18,5.58,4.45,,,
February,4.04,1.24,1.76,3.25,2.23,1.21,4.28,6.55,0.90,,,
March,3.88,2.09,1.03,2.69,1.53,1.65,3.13,1.12,2.39,,,
April,2.75,3.40,3.24,1.46,1.53,2.29,0.80,1.21,3.47,,,
May,1.66,1.80,2.11,3.24,4.52,1.49,2.58,5.54,0.86,,,
June,1.64,3.14,3.36,2.87,2.48,2.73,2.13,4.55,2.91,,,
July,1.75,2.22,7.52,4.34,1.08,4.51,5.33,4.10,3.08,,,
August,3.48,5.20,5.07,5.47,0.84,9.28,7.99,5.15,1.08,,,
September,3.14,3.05,5.58,6.04,2.52,3.30,5.58,5.17,0.30,,,
October,1.95,4.32,1.98,9.04,2.64,2.72,5.65,4.39,4.94,,,
November,7.93,2.27,4.60,8.07,2.49,1.34,2.01,1.66,6.08,,,
December,9.71,4.52,2.72,7.27,5.55,4.97,4.76,4.88,9.52,,,
Total,46.36,37.60,40.44,58.07,30.17,40.45,49.42,49.90,39.98,,,
Calc annual,46.36,37.60,40.44,58.07,30.17,40.45,49.42,49.90,39.98,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,,
