GLASGOW (BOTANIC GARDENS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS568675,Long,-4.290659,Lat,55.879304,Elevation,131,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,6.58,3.48,1.32,4.53,2.23,4.14,4.44,3.76,2.14,3.54,2.82,2.54,2.47,5.03,2.08,4.39,3.35,4.68,6.74,4.15,3.5,4.04,4.21,4.81,4.58,8.45,1.51,4.5,3.11,5.23,3.76,4.33,1.52,4.56,3.64,5.06,4.04,2.63,1.08,5.38,4.14,3.72,2.59,4.61,2.99,5.3,3.91,2.23,5.62,5.15,1.32,5.52,2.5,2.83,5.66,3.6,1.47,3.22
February,,,,5.93,2.03,1.96,2.45,2.3,2.35,1.62,3.37,5.86,2.88,2.71,2.31,4.31,3.98,1.09,4.24,0.87,5.17,0.99,3.29,3.95,0.73,2.85,4.3,2.56,4.08,1.79,0.21,3.1,0.04,3.11,0.48,3.89,1.84,5,1.76,4.6,1.52,3.11,1.83,3.9,1.64,5.35,2.42,1.78,3.82,3.99,3.6,2.81,1.63,1.5,3.76,2.41,1.37,3.12,2.69,1.51,3.13
March,,,,7.26,1.07,3.05,3.27,3.47,3.68,3.01,2.16,1.35,4.08,3.03,4.18,1.68,2.26,2.23,1.18,3.32,3.31,5.39,1.3,1.38,0.85,2.27,2.69,2.94,3.94,0.84,2.47,0.86,2.06,2.11,2.37,2.08,2.67,1.4,2.64,2.59,4.37,3.52,3.04,1.91,0.84,2.51,2.02,3.19,2.9,1.84,2.37,2.78,2.42,0.88,2.42,1.88,2.41,4.12,1.03,1.77,2.23
April,,,,0.94,3.56,2.48,1.26,1.3,1.2,3.32,4.23,2.6,1.66,2.83,2.32,2.31,3.49,1.67,0.23,1.35,1.58,0.53,2.18,3.54,2.25,4.02,2.43,2.31,1.13,0.95,1.15,1.4,3.24,1.85,3.06,2.81,1.02,1.82,0.43,1.79,2.55,1.73,2.59,2.95,2.36,2.15,1.3,4.64,2.97,3.75,3.18,2.21,2.02,1.89,1.68,1.71,1.16,2.08,1.19,3.1,3
May,,,,2.93,3.1,1.65,3.47,3.4,3.16,2.37,1.68,1.86,1.2,2.86,1.74,1.65,3.54,3.54,2.03,0.65,4.01,1.85,3.37,2.14,4.34,5.7,3.34,2.49,2.21,2.5,1.4,4.56,3.45,2.51,2.42,0.54,1.48,1.8,4.14,1.2,1.08,3.03,2.67,3.47,2.6,4.1,1.28,4.39,1.2,1.85,1.33,1.89,1.93,2.35,3.31,3.17,1.91,2.95,3.21,1.15,2.86
June,,,,2.01,1.16,0.52,1.42,3.96,2.23,3.4,1.87,1.86,4.53,2.41,0.45,1.92,2.76,2.62,0.94,4.31,1.97,0.46,1.67,1.02,1.8,0.32,2.06,4.09,5.43,2.86,2.8,4.78,0.9,2.14,2.14,4.99,1.76,2.4,4.9,1.99,0.75,1.02,1.36,3.18,2.57,3.67,3.03,2.53,4.38,1.03,1.99,2.63,2.65,2.35,3.21,2.03,2.91,2.11,3.03,2.86,2.77
July,,,,2.53,3.76,2.6,1.96,3.32,1.95,3.21,4,2.15,2.03,1.18,2.38,3.59,3.1,2.98,3.08,0.92,2.78,3.67,2.42,3.98,3.31,1.94,3,4.03,2.1,2.65,3.33,4.1,3.3,3.52,2.38,1.72,4.75,2.81,3.94,4.17,3.97,2.69,2.2,2.56,2.99,3.4,3.56,2.41,2.62,2.23,6.05,3.73,3.02,4.5,3.08,1.2,5.21,3.02,4.55,4.33,3.61
August,,,,5.67,3.69,3.5,5.04,4.91,2.22,2.99,6.62,1.38,2.95,0.92,4.16,1.79,2.38,3.37,4.14,2.19,4.25,5.55,3.65,5.17,4.27,3.1,3.12,6.27,3.07,5.89,5.66,2.15,1.58,2.58,4.34,1.92,2.6,3.36,2.5,1.59,2.08,4.74,3.8,6.51,3,1.68,2.2,0.02,6.42,3.93,4.9,4.43,3.67,3.45,5.52,0.99,5.43,3.84,5.31,0.53,3.72
September,,,,3.98,3.15,2.4,1.75,1.27,4.93,1.67,1.43,2.33,2.45,2.01,2.46,1.49,0.56,1.77,2.87,2.08,2.3,1.9,1.96,5.36,3.49,2.9,2.85,5.75,2.87,1.22,4.9,1.16,3.63,0.75,4.4,4.79,3.48,2.42,2.83,1.98,3.47,1.57,4.92,2.15,4.44,4.25,5.58,3.7,6.03,1.53,8.32,3.21,2.9,3.44,5.22,3.47,5.09,2.71,3.56,1.41,2.37
October,,,,7.21,1.31,2.29,5.03,6.48,1.97,5.2,1.1,2.88,3.58,1.59,1.23,2.6,6.48,5.09,5.1,0.93,1.68,4.4,1.77,4.54,2.42,3.05,5.43,5.08,5.85,4.77,5.4,2.87,6.07,2.57,5.04,7.69,3.81,3.63,7.14,2.61,4.94,3.54,4.77,6.85,4.49,5.21,0.51,1.83,4.38,5.72,3.57,1.04,3.99,2.23,9.38,2.98,2.87,4,3.15,4.47,3.04
November,,,,2.39,1.68,2.32,3.89,2.11,3.2,2.34,3.65,5,3.96,4.72,3.85,1.89,3.28,5.71,3.96,3.72,4.08,2.18,2.05,3.13,2.66,0.69,5.93,3.73,4.52,6.31,4.65,6.27,3.18,1.87,1.08,3.64,3.71,0.35,6.55,6.81,4.66,2.72,0.72,2.01,6.65,0.4,5.07,5.04,3.29,3.9,2.78,6.16,2.18,6.15,6.23,2.01,1.57,1.61,1.85,5,4.81
December,,,,2.02,2.55,3.07,3.5,4.32,2.62,4.28,3.37,5.27,5.61,3.42,6.22,4.85,5.28,2.81,4.18,5.13,3.26,5.08,3.32,3.23,5.29,3.07,1.55,0.8,4.02,7.79,3.86,3,6.78,0.68,4.62,2.74,4.99,2.19,2.93,2.31,4.28,1.81,4.41,1.58,4.15,3.01,3.3,1.95,5.67,7.33,1.7,5.53,4.02,4.72,5.11,6.34,4.31,4.3,4.64,6.24,4.46
Total,,,,49.45,30.54,27.16,37.57,39.07,33.65,37.85,37.24,34.68,38.47,30.5,33.84,30.55,42.14,34.96,36.34,28.82,39.07,38.74,31.13,40.94,35.45,34.12,41.51,44.63,47.67,39.08,40.33,37.36,39.46,27.45,36.66,38.33,36.67,30.82,44.82,35.68,36.3,30.56,37.69,41.21,39.45,38.32,34.88,34.47,48.98,41.01,42.02,42.04,35.58,34.78,54.44,30.69,37.07,39.52,37.81,33.84,39.22
