GLEN BRUAR (BRUAR LODGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN833762,Long,-3.915709,Lat,56.862498,Elevation,1500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.38,5.84,5.55,2.41,6.58,7.55,7.27,9.22,1.31,6.61,3.75,6.55,5.35,5.77,1.52,4.13,8.58,6.28,3.71,0.51,0.7,5,5.51,4.54,4.5,4.99,5.68,5.92,4.65,3.68,3.15,3.31,2.03,3.64,2.07,2.35,,,,
February,,1.16,3.56,7.48,1.66,6.44,4.57,2.08,5.3,1.81,0.58,3.9,0.19,3.24,0.35,5.6,1.87,2.92,2.23,4.45,1.24,3.22,1.52,3.58,1.42,5.62,3.28,0.91,5.04,3.29,5.13,3.08,1.69,1.57,2.17,2.54,1.52,,,,
March,,6.45,1.86,1.89,0.55,2.14,2.98,4.28,5.01,1.16,2.12,1.55,4.02,2.56,1.14,3.13,1.66,1.29,2.98,3.21,3.47,1.27,1.37,2.16,0.8,3.56,1.47,2.38,3.56,2.22,3.45,2.03,3.53,0.86,2.32,1.44,2.22,,,,
April,,0.64,3.99,3.05,1.69,4.87,2.91,3.19,1.52,1.95,2.2,2.63,4.46,2.93,3.37,3.03,1.06,1.2,0.7,1.92,2.25,1.41,2.93,3.35,,1.11,1.31,8.04,3.08,3.58,4.53,5.06,2.22,1.67,1.42,1.65,,,,,
May,4.16,3.26,3.53,4.91,4.76,6.76,4.08,3.82,2.3,4.28,2.53,4.51,3.73,1.94,2.19,0.87,1.04,2.57,4.55,0.75,1.55,2.75,4.29,2.32,,4.58,1.65,3.83,3.69,2.89,1.51,2.7,4.22,4.07,4.55,3.85,,,,,
June,1.32,0.98,2.41,1.49,2.27,0.71,3.65,4.79,4.62,2.79,2.59,5.15,1.02,1.23,0.11,5.92,1.25,1.83,6.19,1.64,0.58,0.31,1.28,3.89,,4.19,4.02,4.06,6.16,1.91,2.2,2.88,3.59,4.01,2.91,1.3,,,,,
July,3.61,2.9,4.89,2.96,5.96,3.45,2.48,6.79,2.61,4.92,2.75,6.04,6.18,3.02,1.32,1.17,5.16,4.55,4.65,6.66,4.88,3.45,3.48,2.12,3.69,2.72,5.58,4.62,4.47,1.26,4.56,3.49,2.87,3.24,2.56,0.89,,,,,
August,3.44,5.32,3.27,6.19,4.95,3.24,4.01,4.46,6.73,5.65,6.51,2.4,2.22,2.72,4.53,3.44,3.72,2.4,2.49,2.49,1.3,5.66,5.92,4.45,3.74,1.71,3.57,0.03,7.2,4.25,5.56,6.65,2.52,2.59,3.02,1.51,,,,,
September,2.67,2.27,2.29,5.22,6.14,3.68,3.33,7.23,4.64,2.4,5.61,1.88,4.35,2.39,5.16,6.22,3.64,3.57,4.66,3.93,2.15,2.51,4.3,3.88,3.72,6.4,4.82,5.33,4.54,1.71,6.27,3.55,2.28,3.72,5.54,3.56,,,,,
October,4.35,3.81,2.05,7.06,4.06,4.23,6.3,5.37,7.39,7.08,8.21,3.58,8.66,6.22,7.31,8.29,5.35,3.46,10.94,5.1,4.02,4.58,4.72,8.02,5.84,4.51,0.3,2.38,5.34,5.22,3.37,1.79,4.04,2.56,7.54,4.78,,,,,
November,6.04,2.92,2.6,3.07,3.17,1.27,7.66,4.37,6.74,5.64,6.02,7.46,4.45,4.36,0.74,5.49,3.97,0.57,5.99,8.05,7.55,4.43,1.51,2.38,5.73,0.97,6.24,6.45,1.94,5.35,3.51,9.12,2.59,3.22,9.32,2.04,,,,,
December,4.98,5.84,5.42,2.53,7.83,5.16,2.21,1.03,4.41,9.7,5.04,4.02,6.64,0.85,8.07,1.74,5.61,0.76,3.76,2.22,3.28,4.27,5.91,1.9,3.17,7.49,4.71,2.51,7.77,6.25,1.84,4.8,3.84,5.15,7.48,6.16,,,,,
Total,,40.93,41.71,51.4,45.45,48.53,51.73,54.68,60.49,48.69,50.77,46.87,52.47,36.81,40.06,46.42,38.46,33.7,55.42,44.13,32.78,34.56,42.23,43.56,,47.36,41.94,46.22,58.71,42.58,45.61,48.3,36.7,34.69,52.47,31.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apporx 200 yds S of Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No of corrections for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
