GLEN KINGIE (LOCHAN NA SGUID),,,,,,,,,,
Grid ref,NN061984,Long,-5.197161,Lat,57.035803,Elevation,470,ft,,
Station no,5709/1/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.9,6.34
February,,,,,,,,,7.5,8.54
March,,,,,,,,,7,1.1
April,,,,,,,,,7.04,10.08
May,,,,,,,,8.3,2.95,3.14
June,,,,,,,,2.3,8.12,4
July,,,,,,,,3.63,12.7,5.02
August,,,,,,,,7.6,7.62,5.76
September,,,,,,,,6.75,4.1,5.26
October,,,,,,,,12.8,11.71,1.52
November,,,,,,,,2.45,11.03,8.5
December,,,,,,,,7.65,14.41,12.64
Total,,,,,,,,,99.08,71.9
,,,,,,,,,,
Station no,5709/1/1,,,,,,,,,
Midas,14627,,,,,,,,,
Hyd Stn,798948,,,,,,,,,
