"GLENFARG, FORDEL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5539,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,4.02,
February,,,,,,,,,,,1.44,
March,,,,,,,,,,,2.50,
April,,,,,,,,,,1.10,2.13,
May,,,,,,,,,,3.26,1.49,
June,,,,,,,,,,1.81,2.63,
July,,,,,,,,,,3.70,3.38,
August,,,,,,,,,,5.03,5.47,
September,,,,,,,,,,0.65,8.40,
October,,,,,,,,,,3.91,4.81,
November,,,,,,,,,,5.79,3.59,
December,,,,,,,,,,4.53,3.87,
Total,,,,,,,,,,,43.73,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.78,43.73,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,
