GLENFARG (FORDEL),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5539,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.69,4.91,3.51,5.16,0.77,,,,,,,
February,1.69,0.06,2.61,0.15,2.95,,,,,,,
March,0.89,1.98,1.99,4.50,1.21,,,,,,,
April,2.95,3.51,1.51,5.82,4.12,,,,,,,
May,4.10,3.69,1.89,2.15,0.68,,,,,,,
June,5.02,1.53,1.59,2.82,3.42,,,,,,,
July,4.89,3.80,3.90,3.35,1.44,,,,,,,
August,4.57,0.65,1.42,4.42,2.85,,,,,,,
September,1.05,2.09,2.04,3.99,5.65,,,,,,,
October,1.84,7.67,3.70,4.66,6.55,,,,,,,
November,6.99,2.48,2.74,1.06,4.77,,,,,,,
December,1.77,8.67,1.46,5.20,2.26,,,,,,,
Total,37.45,41.04,28.36,43.28,36.67,,,,,,,
Calc annual,37.45,41.04,28.36,43.28,36.67,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
