"GOUDHURST GORE COURT",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3027,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.95,2.86,3.39,1.34,2.38,3.21,2.94,2.14,3.84,1.39,3.93,
February,0.61,0.77,2.05,4.00,1.01,3.99,2.06,4.68,1.55,0.89,1.85,
March,1.48,1.45,2.38,2.24,1.70,0.85,0.41,4.11,1.95,0.03,1.29,
April,2.99,1.54,3.48,2.26,2.97,2.44,4.82,1.74,2.66,1.17,1.77,
May,1.09,1.66,0.75,3.53,3.50,2.75,2.22,0.90,2.62,1.42,2.56,
June,1.03,0.00,1.29,0.73,2.13,0.18,2.69,3.60,3.27,0.86,0.77,
July,3.79,0.42,2.92,0.78,3.07,3.42,1.81,4.11,1.20,1.10,2.50,
August,1.34,1.52,2.18,1.77,2.00,1.41,1.47,4.29,1.97,2.24,3.41,
September,1.93,0.79,2.27,1.77,2.71,2.11,0.90,4.12,0.53,0.57,4.58,
October,1.73,2.61,1.94,6.02,4.37,4.03,2.57,2.18,5.91,3.69,1.65,
November,1.55,1.49,1.42,2.39,3.59,3.24,6.72,2.54,3.80,6.60,5.47,
December,2.86,2.13,3.55,2.88,4.50,3.87,0.62,4.74,3.30,7.57,2.72,
Total,24.35,17.24,27.62,29.71,33.93,31.50,29.23,39.15,32.60,27.53,32.50,
Calc annual,24.35,17.24,27.62,29.71,33.93,31.50,29.23,39.15,32.60,27.53,32.50,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,
