"GREAT GLEMHAM GLEMHAM GROVE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4684,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.76,1.63,2.50,3.21,1.49,,,,,,,
February,2.97,1.19,1.71,0.69,1.54,,,,,,,
March,1.16,1.97,3.54,1.91,4.07,,,,,,,
April,1.91,1.77,0.38,2.45,0.72,,,,,,,
May,3.68,0.84,0.60,1.61,1.34,,,,,,,
June,2.63,2.27,2.55,0.88,0.92,,,,,,,
July,2.13,0.79,2.77,2.44,1.91,,,,,,,
August,3.80,0.23,7.54,0.50,0.76,,,,,,,
September,1.78,1.66,3.41,2.00,0.81,,,,,,,
October,1.45,2.29,1.91,3.23,2.35,,,,,,,
November,3.52,3.37,2.55,2.50,2.74,,,,,,,
December,5.21,4.72,2.36,0.82,5.77,,,,,,,
Total,32.00,22.73,31.82,22.24,24.42,,,,,,,
Calc annual,32.00,22.73,31.82,22.24,24.42,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
