"GUERNSEY ST PETER PORT, ROHAIS - COLBORNE VILLA",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4441,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,5.52,1.94,3.59,6.21,1.55,4.28,1.80,1.72,1.54,7.36,,
February,5.45,1.63,3.01,1.25,5.96,5.54,6.32,1.54,1.26,5.30,,
March,1.88,2.80,6.29,3.51,5.15,0.91,3.94,2.96,1.78,5.52,,
April,1.34,2.94,0.15,2.67,1.47,2.14,0.64,1.65,1.82,1.87,,
May,2.13,0.50,0.95,2.10,1.28,1.74,1.13,2.48,2.09,0.91,,
June,2.18,2.83,3.46,0.62,1.01,0.82,1.17,1.14,0.41,0.71,,
July,2.73,0.58,3.61,3.06,2.48,4.19,0.97,1.39,3.23,1.95,,
August,2.26,0.55,7.37,1.31,3.51,1.18,2.85,5.58,2.24,3.13,,
September,0.37,1.23,3.25,1.59,4.33,2.73,2.89,0.90,4.80,3.31,,
October,7.63,4.88,5.79,4.84,3.25,4.93,4.53,6.03,3.41,2.43,,
November,10.29,6.96,3.52,4.72,4.35,4.47,5.01,2.96,2.68,6.19,,
December,3.94,8.60,5.21,3.27,9.25,9.05,5.65,1.65,4.30,5.55,,
Total,45.72,35.44,46.20,35.15,43.59,41.98,36.90,30.00,29.56,44.23,,
Calc annual,45.72,35.44,46.20,35.15,43.59,41.98,36.90,30.00,29.56,44.23,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
