HALSTEAD RECTORY,,,,,,,,,,,,
Grid ref,TQ484614,Long,0.128788,Lat,51.332336,,,,,,,
Station no,RR6909,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.31,0.97,,,,,,,,,
February,,1.88,1.41,,,,,,,,,
March,,3.33,1.79,,,,,,,,,
April,,2.26,0.71,,,,,,,,,
May,,1.07,3.11,,,,,,,,,
June,,2.31,3.82,,,,,,,,,
July,,1.66,1.56,,,,,,,,,
August,,2.22,2.72,,,,,,,,,
September,,1.57,0.68,,,,,,,,,
October,,2.49,2.58,,,,,,,,,
November,,0.95,2.37,,,,,,,,,
December,,4.52,1.84,,,,,,,,,
Total,,25.57,23.56,,,,,,,,,
Calc annual,0.00,25.57,23.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
