HAMMERWICH, CANNOCK CHASE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2339,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,1.48,3.08,2.11,0.99,0.52,,
February,,,,,,2.10,0.65,0.45,0.45,1.51,,
March,,,,,,0.95,2.49,1.31,2.02,2.88,,
April,,,,,,2.20,1.88,1.15,1.95,3.16,,
May,,,,,,2.05,5.59,1.84,0.48,3.04,,
June,,,,,,2.96,0.83,2.28,1.97,0.87,,
July,,,,,,0.34,2.28,1.19,5.21,1.37,,
August,,,,,,2.49,1.09,1.37,2.95,3.24,,
September,,,,,,3.29,1.66,2.76,0.97,2.45,,
October,,,,,,4.80,3.44,2.24,0.60,3.44,,
November,,,,,,2.73,1.89,1.41,4.17,0.89,,
December,,,,,,1.11,3.35,1.71,2.14,1.70,,
Total,,,,,,26.50,28.23,19.82,23.90,25.07,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.50,28.23,19.82,23.90,25.07,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,,
