HAMPTON (REFUSE DISPOSAL WORKS),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,835/2,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,1.74,1.15,1.46,3.62,0.75,0.76,,
February,,,,,1.38,2.12,1.51,1.98,0.88,3.15,,
March,,,,,1.14,1.03,4.63,0.78,0.93,0.59,,
April,,,,,1.24,2.48,1.59,1.48,1.25,2.62,,
May,,,,,1.87,3.03,1.71,1.79,2.93,1.51,,
June,,,,,1.26,2.21,3.23,2.30,0.55,3.53,,
July,,,,,3.33,3.08,2.92,0.90,1.56,3.29,,
August,,,,,1.40,4.16,0.33,2.84,1.39,1.83,,
September,,,,,1.37,2.92,1.11,1.34,1.16,2.77,,
October,,,,,2.06,1.41,0.16,2.37,4.77,0.31,,
November,,,,,0.27,4.20,1.09,1.66,1.86,4.44,,
December,,,,,2.67,2.40,2.61,2.43,1.54,1.90,,
Total,,,,,19.73,30.19,22.35,23.49,19.57,26.70,,
Calc annual,0.00,0.00,0.00,0.00,19.73,30.19,22.35,23.49,19.57,26.70,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,,
