HASTINGS BLEAK HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ820099,Long,0.5851,Lat,50.8608,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.69,1.46,2.16,0.76,3.69,4.19,3.36,1.77,0.31,2.36,2.66,1.38,1.5,4.36,0.61,1.21,1.16,1.23,3.44,5,3.68,3.44,2.42,2.52,2.07,4.83,3.25,2.24,4.03,1.04,6.58,2.4,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.14,3.4,1.89,1.88,1.51,1.12,1.82,0.5,1.33,1.2,0.07,0.72,1.58,0.76,0.88,1.02,0.95,1.17,1.91,3.71,1.86,1.05,2.27,1.02,1.48,1.5,1.94,0.85,0.93,2.81,2.68,1.79,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,0.76,4.21,1.02,0.23,3.67,0.18,2.11,0.15,2.6,1.02,1.87,1,1.89,2.23,2.34,3.94,0.26,2.28,1.61,2.39,3.08,1.2,1.9,1.97,1.32,2.28,2.34,0.75,0.84,3.11,2.06,0.74,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.96,5.13,3.98,2.88,2.4,0.68,3.56,0.55,0.2,5.34,1.78,2.83,1.53,1.95,0.25,1.35,0.5,0.38,0.24,2.2,2.51,1.72,1.3,0.32,3.96,0.86,0.83,2.5,1.24,1.98,2.36,5.33,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.2,0,3.63,3.81,1.03,2.28,1.78,2.55,2.89,3.98,0.67,1.77,0.9,3.46,1.36,1.55,2.48,2,3.1,1.04,3.14,0.76,4.59,1.2,0.9,2.22,1.13,0.81,0.92,1.37,1.76,3.45,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.16,3.6,1.17,1.52,1.37,4.88,1.22,1.87,1.23,1.4,1,0.38,1.14,3.15,4.97,1.56,1.88,0.9,1.61,1.78,0.71,0.51,0.69,0.43,1.51,2.08,2.31,1.24,2.12,1.47,1.86,1.03,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.13,2.85,3.35,2.42,3.54,0.92,2.69,0.36,3.02,1.44,0.8,2.31,0.98,2.72,2.23,1.37,0.4,0.18,1.46,1.86,3.77,2.54,0.26,0.89,2.68,1.79,1.13,0.56,2.22,0.37,2.18,0.6,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.83,4.63,2.86,2.43,1.43,4.3,3.64,1.63,0.34,1.45,2.78,1.9,0.82,3.49,0.5,1.53,2.1,1.73,2.71,2.33,0.96,4.15,1.7,1.75,0.96,1.45,2,1.61,2.41,3.44,2.05,8.62,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.65,4.3,1.81,2.5,0.78,5.5,2.22,1.15,0.66,5.12,4.94,0.62,3.67,4.92,5.11,2.16,2.98,2.11,0,6.2,0.6,1.02,3.2,2.39,3.66,2.35,2.39,3.42,3.29,3.05,1.06,1.94,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.49,6.59,5.58,2.98,2.61,7.14,4.65,6.38,4.9,2.08,3.15,1.89,2.13,2.73,2.35,7.75,2.13,1.81,10.88,1.47,2.74,2.8,1.79,4.96,1.42,5.73,3.89,4.07,4.47,1.41,3.72,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
