HELVELLYN (BIRKSIDE),,,,,,,,,,,,
Grid ref,NY337133,Long,-3.025521,Lat,54.510651,,,,,,,
Station no,3631,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.29,8.22,5.81,8.18,8.23,6.08,14.63,10.09,6.94,13.87,,
February,10.20,2.98,4.58,7.28,3.45,1.97,9.80,9.86,3.13,12.37,,
March,8.10,6.97,1.28,7.54,3.35,4.03,8.23,2.19,7.58,3.34,,
April,6.80,5.62,5.48,2.43,4.32,2.18,2.37,3.12,8.48,7.26,,
May,4.11,5.00,5.67,7.40,8.29,4.83,5.02,9.70,2.16,4.11,,
June,1.76,4.63,5.39,9.15,7.12,5.52,2.98,7.43,6.92,7.30,,
July,6.09,6.00,14.66,7.72,4.38,8.96,7.58,7.12,9.45,9.95,,
August,10.75,12.61,10.25,10.04,4.46,16.19,11.54,7.83,2.13,5.96,,
September,12.78,9.42,16.00,18.20,7.21,7.43,11.08,10.17,1.54,5.65,,
October,1.28,11.62,5.34,20.63,7.36,7.25,12.55,10.23,12.21,8.15,,
November,22.25,6.09,17.66,19.87,4.77,3.99,4.41,2.49,15.61,20.39,,
December,15.40,7.89,6.87,12.67,12.93,13.36,11.12,8.84,19.13,9.84,,
Total,108.81,87.05,98.99,131.11,75.87,81.79,101.31,89.07,95.28,108.19,,
Calc annual,108.81,87.05,98.99,131.11,75.87,81.79,101.31,89.07,95.28,108.19,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
