HEREFORD (LICHFIELD AVENUE),,,,,,,,,,,,,,,,,,,,
Grid ref,SO523396,Long,-2.697037,Lat,52.052722,Elevation,200,ft,,,,,,,,,,,,
Station no,2229/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.37,2.58,2.19,3.72,1.01,0.37,2.17,1.92,,,,,,,,
February,,,,,1.35,1.51,1.62,1.14,0.99,4.13,3.35,0.45,,,,,,,,
March,,,,,0.63,0.7,5.95,1.2,1.15,1.31,3.57,1.93,,,,,,,,
April,,,,,0.81,1.93,2.19,1.99,1.93,1.69,2.24,1.89,,,,,,,,
May,,,,,2.23,4.09,2.88,2.99,2.2,1.04,4.19,2.73,,,,,,,,
June,,,,,2.21,1.62,1.12,2.16,0.28,1.53,0.61,1.3,,,,,,,,
July,,,,,2.23,1.52,1.86,0.71,0.66,2.71,0.7,1.15,,,,,,,,
August,,,,,3.64,5.9,1.08,4.42,0.89,3.15,2.67,5.18,,,,,,,,
September,,,,2.49,1.87,3.91,1.2,2.18,2.15,2.91,2.35,1.74,,,,,,,,
October,,,,4.26,3.17,1.18,0.42,2.42,5.01,0.9,0.66,,,,,,,,,
November,,,,3.6,0.58,4.72,1.92,1.66,2.76,4.16,5.73,,,,,,,,,
December,,,,1.91,4.22,2.24,1.79,4.89,1.04,1.31,2.15,,,,,,,,,
Total,,,,,24.31,31.9,24.22,29.48,20.07,25.21,30.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer, EH Morris, moved from Castle Street with his gauge in Sept 1944",,,,,,,,,,,,,,,,,,,,
