"HEREFORD POOL COTTAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR226,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,3.55,3.72,2.94,,,,,3.98,2.90,,,
February,2.81,2.87,1.87,,,,,1.82,3.60,,,
March,0.05,2.98,2.70,,,,,2.72,4.00,,,
April,0.53,1.87,0.21,,,,4.46,1.30,4.10,,,
May,2.15,3.53,2.45,,,,2.28,3.40,0.90,,,
June,2.07,2.53,2.29,,,,2.84,2.70,6.60,,,
July,1.17,1.99,2.36,,,,2.77,0.80,2.40,,,
August,1.47,3.70,1.99,,,,4.88,1.50,5.50,,,
September,2.22,5.80,3.56,,,,2.63,2.00,5.10,,,
October,2.11,3.35,1.06,,,,5.45,6.60,,,,
November,6.24,4.45,7.38,,,,2.40,1.80,,,,
December,0.33,2.99,1.11,,,,1.04,5.40,,,,
Total,24.70,39.78,29.92,,,,,34.02,,,,
Calc annual,24.70,39.78,29.92,0.00,0.00,0.00,28.75,34.02,35.10,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
