HESWALL ST FILLANS,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2799,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,1.26,3.99,
February,,,,,,,,,,0.92,0.38,
March,,,,,,,,,,0.09,3.77,
April,,,,,,,,,,0.91,3.01,
May,,,,,,,,,,1.21,1.07,
June,,,,,,,,,,1.51,1.42,
July,,,,,,,,,,2.59,4.16,
August,,,,,,,,,,2.44,3.73,
September,,,,,,,,,,1.64,2.79,
October,,,,,,,,,,3.62,4.27,
November,,,,,,,,,,4.81,3.68,
December,,,,,,,,,,4.52,4.03,
Total,,,,,,,,,,25.52,36.30,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.52,36.30,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,
