HEYSHAM HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD413607,Long,-2.897818,Lat,54.03892,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,0.93,3.53,1.88,3.16,1.2,4.1,6.24,5.43,2.17,2.63,4.28,5.09,2.19,5.41,2.21,4.08,2.22,5.26,1.43,3.46,4.17,3.59,5.75,3.43,2.28,4.75,
February,,,,5.23,5.22,-999,1.81,3.06,3.64,3.22,3.76,1.32,1.18,3.99,4.15,1.98,3.39,1.93,2.52,2.49,5.69,4.69,2.61,2.2,4.63,5.37,3.81,1.51,4.51,
March,,,,2.23,4.11,-999,6.15,5.75,1.44,2.05,0.68,4.51,2.6,4.11,2.76,3.27,3.5,3.74,3.39,3.35,1.6,1.63,6.76,4.25,5.4,2.16,1.59,2.11,2.15,
April,,,,0.47,1.5,2.15,1.7,2.29,2.92,4.79,2.84,2.35,1.94,1.37,3.69,3.59,1.92,1.95,2.88,3.26,2.38,3.36,0.67,4.76,1.01,2.86,2.93,1.69,1.35,
May,,,,2.51,3.2,1.69,0.46,1.74,3.12,3.43,2.37,1.12,3.14,4.56,2.48,1.46,6.47,4.65,4.51,2.24,1.87,1.87,2.03,2.72,2.8,1.41,4.18,3.13,3.2,
June,,,,1.52,3.93,2.51,3.41,4.79,3,1.14,2.61,2.23,1.62,1.97,2.34,2.73,2.51,8.64,2.78,2.16,2.22,3.41,6.15,2.45,1.69,1.1,2.79,2.95,2.41,
July,,,,5.55,1.99,6.73,4.13,1.24,0.35,4.6,3.29,2,3.55,3.79,2.28,1.75,2.45,3.4,3.69,7.09,4.34,1.2,6.52,1.61,5.69,4.43,2.37,1.46,5.22,
August,,,,5.18,6.19,5.13,3.18,6.18,6.79,1.74,5,4.27,3.64,7.13,3.72,6.04,5.24,4.79,5.89,4.45,7.2,5.21,5.8,1.79,3.36,3.95,5.82,9.58,5.28,
September,,,,5.44,0.96,1.02,7,5.38,1.51,6.05,3.4,1.36,1.58,8.82,2.07,3.54,1.04,1.03,5.48,3.16,0.54,5.16,2.58,3.82,3.11,1.02,3.35,4.29,10.92,
October,,,,7.26,4.37,5.59,4.84,2.77,5.11,4.22,9.02,5,4.78,10.31,4.34,3.31,7.34,6.05,2.58,6.84,3.09,5.29,5.78,3.95,2.3,1.61,7.22,7.13,4.78,
November,,,,2.75,5.17,4.27,1.98,6.37,4.64,4.03,4.52,4.99,3.13,4.43,3.2,4.85,3.64,4.99,4.27,1.79,5.66,5.54,5.46,4.8,5.43,2.3,3.79,4.89,3.12,
December,,,,4.23,3.58,5.21,6.74,7.09,4.19,3.86,6.11,5.22,4.06,3.95,3.59,1.45,3.83,5.61,4,9.11,4.04,7.73,4.49,3.26,7.11,8.1,3.12,2.26,8.67,
Total,,,,43.3,43.75,40.76,44.56,47.86,40.81,45.37,49.03,36.54,33.85,58.71,39.71,36.16,46.74,48.99,46.07,48.16,43.89,46.52,52.31,39.78,46.12,40.06,44.4,43.28,56.36,
