HINDRINGHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,TF987370,Long,0.95236892,Lat,52.893714,Elevation,185,ft,,,,,,,,,,,,
Station no,RR6645,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.64,2.04,2.59,1.6,0.87,0.2,1.22,2.01,2.44,2.18,,,,,
February,,,,,,1.63,2.59,2.93,1.11,2.16,1.67,3.24,1.71,3.2,0.89,,,,,
March,,,,,,0.43,2.37,2.63,1.04,0.75,1.22,1.69,1.33,1.76,,,,,,
April,,,,,,0.54,3.19,2.41,0.93,1.98,2.29,0.85,2.39,2.16,,,,,,
May,,,,,,1.37,0.99,1.81,3.75,2.78,1.09,1.11,2.01,1.61,,,,,,
June,,,,,,2.56,1.84,1.12,2.22,3.23,3.23,1.98,3.38,4.25,,,,,,
July,,,,,,9.96,2.55,2.77,1.55,5.32,3.86,2.22,2.12,2.92,,,,,,
August,,,,,,0.71,2.66,3.24,4.45,2.68,1.9,3.18,2.15,1.65,,,,,,
September,,,,,,2,4.8,2.59,2.39,2.82,3.35,3.28,2.73,6.27,,,,,,
October,,,,,,3.24,0.82,1.54,2.55,1.85,4.9,2.73,4.71,3.59,,,,,,
November,,,,,,5.61,2.69,2.55,8.05,1.86,2.49,2.24,4.24,3.51,,,,,,
December,,,,,,1.93,3.31,1.87,2.55,0.95,2.68,2.65,3.78,2.38,,,,,,
Total,,,,,,31.62,29.85,28.05,32.19,27.25,28.88,26.39,32.56,35.74,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
