"HODDESDON (FIELDES WEIR)",,,,,,,,,,,,
Grid ref,TL392092,Long,0.015715,Lat,51.764185,,,,,,,
Station no,948,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.39,1.91,0.89,1.01,2.14,3.21,1.08,2.44,2.20,1.91,,
February,5.10,0.65,1.68,2.27,1.55,0.43,2.96,2.52,0.12,1.68,,
March,2.86,2.85,0.45,2.21,1.11,0.75,1.11,0.96,1.72,1.02,,
April,3.10,1.43,2.36,0.20,0.35,1.21,0.24,1.16,2.77,0.43,,
May,2.55,0.99,1.40,2.01,4.30,0.40,0.64,3.05,0.83,1.82,,
June,0.83,1.31,1.90,2.89,2.35,2.94,1.46,5.71,1.52,1.86,,
July,0.83,0.59,2.84,2.11,0.23,4.54,3.42,3.75,2.06,2.74,,
August,4.12,3.85,1.49,2.82,1.57,4.54,1.60,3.01,0.57,2.91,,
September,3.44,2.53,1.43,1.67,1.63,2.00,2.90,3.89,0.02,4.03,,
October,0.72,2.33,3.00,2.30,3.68,1.70,1.94,2.34,1.55,5.23,,
November,4.38,3.44,0.98,3.89,0.79,0.60,2.42,1.73,2.65,3.03,,
December,1.86,2.43,0.51,1.63,1.68,2.82,1.99,2.62,3.83,2.67,,
Total,32.18,24.31,18.93,25.01,21.38,25.14,21.76,33.18,19.84,29.33,,
Calc annual,32.18,24.31,18.93,25.01,21.38,25.14,21.76,33.18,19.84,29.33,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
