HOLKHAM-HALL-NORFOLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,TF884429 ,Long ,0.802878,Lat ,52.950392,Elevation ,39,ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January ,3.07,0.37,1.14,2.14,0.47,1.78,2.18,4.6,2.02,1.86,0.79,0.47,1.96,1.68,1.05,1.6,1.74,,1.32,0.4,0.16,0.83,1.73,2.04,1.7,,,0.89,0.5,0.56,2.08,0.51,0.62,1.29,1.66,2,1,,0.87,1.21,,,1.03,1.41,0.97,0.65,3.72,1,0.84,0.59,2.41,1.63,2.12,2.21,1.96,2.6,1.39,1.54,2.33,2.96,1.93,2.37,4.61,1.48,1.96,1.04,2.93,2.06,4.15,1.92,1.7,2.31,1.37,1.08,1.82,1.99,2.64,3.74,2.29,4.02,1.25,1.88,2.72,,,,,,,,
February ,1.66,2.33,0.51,0.43,1.27,3.02,2.93,1.13,1.62,1.85,1.02,1.41,0.63,2.06,1.2,1.58,2.92,,0.89,1.61,1.23,2.65,1.45,2.46,0.5,1.95,0.7,0.49,1.67,1.14,0.52,0.36,1.85,2,0.91,2.25,0.57,,1.04,0.53,,,1.24,0.54,3.06,1.08,1.52,1.03,2.13,0.2,2.63,2.11,1.36,0.47,1.12,2.82,3.09,1.17,1.46,2.28,0.78,0.78,2.44,2.4,1.04,2.38,1.59,1.79,1.62,0.62,1.1,2.71,0.72,1.91,0.72,2.3,2.42,2.26,0.85,0.78,1.47,2.15,1.5,,,,,,,,
March ,2.32,2.11,3.28,0.79,2.18,2.73,1.21,1.15,1.9,2.38,1.61,0.66,2,1.71,1,0.83,2.39,,0.86,0.57,1.04,1.62,0.92,1.33,0.98,1,,,2.14,1.35,2.39,1.19,0.47,0.43,0.79,1.07,3.24,,0.73,1.59,,,1.01,2.21,1.45,1.96,1.6,1.48,1.67,2.6,0.22,2.7,1.88,2.63,2.39,1.52,2.42,1.46,0.58,1.83,1.4,0.89,1.78,1.09,0.32,1.4,0.29,1.59,1.58,0.16,1.88,0.64,1.29,1.92,1.83,0.36,0.63,3.22,0.23,1.95,1.66,2.59,1.04,,,,,,,,
April ,1,1.65,1.36,1.4,0.3,0.35,1.05,2.09,2.45,1.1,0.9,2.88,2.48,1.05,1.18,0.83,4.47,,0.76,2.15,1.74,0.88,1.9,1.96,1.41,1.18,1.55,0.84,1.15,1.7,0.52,0.98,1.28,0.12,1.47,0.73,1.11,,0.72,1.78,,,1.69,1.79,0.56,1.35,0.76,2.66,2.75,1.72,2.01,1.08,0.18,1.74,0.47,0.65,1.9,2,2.95,1.55,2.1,1.63,1.74,1.25,1.54,2.18,2.42,2.54,1.25,0.86,1.52,2.86,3.18,1,2.45,2.71,1.25,2.27,0.26,2.58,1.07,0.81,1.06,,,,,,,,
May ,3.65,1.69,2.5,0.77,1.42,1.44,1.48,3.04,0.28,3.06,0.54,1.05,1.7,1.96,1.07,1.1,0.75,,3.38,2.5,0.93,0.68,1.22,1.61,0.88,1.73,2.62,1.92,0.67,3.61,1.39,3,1.77,0.71,1.65,1.39,0.47,,2.29,2.54,,,2.64,1.82,2.01,1.08,1.49,2.77,0.9,1.28,2.17,0.98,1.8,1.18,1.18,1.57,1.96,0.46,1.21,0.53,1.56,1.23,0.56,1.69,2.75,2.42,2.08,0.96,1.31,1.26,2.13,3.18,3.52,1.82,1.76,0.38,2.02,3.19,1.67,0.59,1.01,1.65,2.33,,,,,,,,
June ,4.16,1.28,2,2.45,1.24,0.93,2.06,0.6,0.29,1.18,1.65,2.06,1.65,1.23,1.39,1.95,2.13,,2.65,2.67,2.7,1.43,3.88,3.47,0.6,2.08,1.1,0.4,1,1.2,2.96,3.39,2.14,1.57,3.21,0.75,1.48,,2.34,0.58,,,2.13,2.28,0.41,1.75,1.95,2.08,0.83,3.32,0.93,4.02,3.73,1.56,2.97,0.55,2.91,2.09,1.32,1.25,1.78,0.64,1.25,0.79,1.34,0.33,2.31,4.07,2.21,1.9,3.73,1.33,0.39,1.34,0.84,2.65,4.2,1.34,2.08,2.57,0.37,0.81,1.89,,,,,,,,
July ,2,1.84,1.82,0.62,0.51,5.75,2.04,4.1,0.17,1.22,1.38,3.01,3.42,2.11,0.61,8.43,3.08,,0.59,3.67,3.52,1.47,1.78,2.31,2.79,1.12,3.31,1.17,4.17,2.11,3.17,2.56,2.26,4.49,2.99,1.51,2.98,,0.78,1.35,,,1.34,4.31,3.28,1.55,0.5,1.92,3.19,3.35,3.95,0.52,4.18,0.89,1.17,3.4,1.14,1.57,4.18,3.44,3.02,0.4,4.51,3.33,1.88,1.07,1.21,2.51,1.53,3.08,5.15,3.65,2.85,1.05,1.02,0.82,5.18,2.8,1.36,1.82,3.31,3.19,2.87,,,,,,,,
August ,3.32,0.64,3.34,1.7,1.01,3.11,2.89,1.08,3.36,1.55,2.15,0.57,6.23,1.72,1.46,1.09,3.26,,3.48,2.87,2.79,3.47,2,1.12,1.66,0.77,2.8,1.77,3.28,3.14,2.03,3.42,1.34,0.87,1.43,2.66,2.3,,2.41,0.77,,,2.6,3.84,1.06,3.11,4.13,2.35,2.1,2.83,2,2.21,7.29,1.53,2.24,1.28,2.98,3.88,2.48,2.75,1.75,2.42,1.99,1.67,2.38,1.67,1.3,4.14,2.06,1.04,1.68,3.09,2.44,0.73,1.59,0.67,1.46,1.21,1.07,1.79,1,3.02,2.38,,,,,,,,
September ,3.19,1.88,1.6,1.96,1.14,0.13,2.57,2.06,2.43,3.12,1.15,4.42,2.7,2.72,1.99,1.81,3.91,,2.42,2.8,3.92,3.25,2.48,5.37,2.33,3.73,1.23,2.38,1.37,2.82,0.28,0.71,1.78,0.49,1.38,0.5,3.7,,0.06,3.33,,,1.13,3.31,1.66,2.36,0.85,0.71,1.56,1.63,1.01,2.37,2.56,1.68,1.24,1.44,1.95,1.55,5.14,1.14,1.93,0.65,3.06,1.36,1.95,3.02,0.95,3.23,0.6,0.75,4.18,3.73,2.47,1.67,1.49,3.47,2.96,1.19,1.82,1.53,1.47,0.76,1.91,,,,,,,,
October ,2.37,0.51,2.08,2.63,0.97,4.5,0.9,2.12,2.62,2.34,3.15,1.66,2.51,2.04,2.26,2.55,1.21,,2.55,1.38,5.03,2.36,3.99,3.12,2.99,6.29,,3.21,1.34,3.07,0.8,3.36,6.5,1.84,2.24,2.21,3.22,,1.93,2.23,,,2,5.76,1.57,3.15,4.59,3.8,0.7,4.04,1.15,3.22,1.83,3.25,1.67,1.74,2.23,4.33,1.99,3.32,0.4,2.8,1.24,3.03,4.46,1.88,2.47,2.82,2.68,2.62,0.94,1.11,4.21,3.74,1.51,3.79,2.49,2.24,2.53,4.49,2.43,3.28,2.82,,,,,,,,
