HOLKHAM (LONGLANDS),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1447/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.64,1.91,1.21,1.77,1.79,,,,,,,
February,3.26,1.11,1.85,0.51,2.09,,,,,,,
March,0.82,1.70,1.89,1.80,0.49,,,,,,,
April,3.34,3.47,0.96,2.46,2.57,,,,,,,
May,3.58,4.01,1.93,2.11,0.40,,,,,,,
June,1.55,0.51,1.46,0.93,3.15,,,,,,,
July,4.05,4.16,1.08,1.18,0.57,,,,,,,
August,3.35,2.80,0.68,1.79,0.97,,,,,,,
September,3.45,2.56,2.10,1.42,3.47,,,,,,,
October,1.60,4.96,3.80,1.39,3.65,,,,,,,
November,2.26,1.65,2.26,1.79,3.14,,,,,,,
December,1.40,0.70,0.46,3.35,1.78,,,,,,,
Total,31.30,29.54,19.68,20.50,24.07,,,,,,,
Calc annual,31.30,29.54,19.68,20.50,24.07,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
