"HORSHAM, DUNEDIN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,471,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,3.71,3.83,2.54,5.00,1.40,4.48,
February,,,,,,5.19,2.89,5.96,1.71,1.13,1.07,
March,,,,,,0.64,0.43,4.19,2.21,0.00,1.75,
April,,,,,,3.13,3.63,2.17,2.23,0.76,2.38,
May,,,,,,3.18,1.73,1.04,1.49,2.17,2.75,
June,,,,,,0.09,3.53,3.75,2.99,1.78,0.50,
July,,,,,,4.28,1.53,4.18,1.89,2.22,2.43,
August,,,,,,2.66,2.27,4.23,2.76,2.29,4.20,
September,,,,,,2.74,0.60,5.21,1.21,0.46,3.26,
October,,,,,,3.95,2.22,2.36,6.95,4.73,1.56,
November,,,,,,3.65,6.88,3.52,3.12,8.24,5.44,
December,,,,,,3.71,0.50,4.14,3.44,8.52,2.88,
Total,,,,,,36.93,30.04,43.29,35.00,33.70,32.70,
Calc annual,0.00,0.00,0.00,0.00,0.00,36.93,30.04,43.29,35.00,33.70,32.70,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,-0.00,0.00,0.00,0.00,
