HOVINGHAM HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE665757,Long,-0.983,Lat,54.173,Elevation,119,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.44,0.56,3.72,0.96,1.53,0.92,4.29,1.84,2.87,3.22,1.63,3.48,0.64,3.47,1.91,2.17,3.73,3.18,3.35,1.91,2.71,1.67,3.10,2.68,5.62,3.82,4.39,2.33,2.01,2.26,2.27,2.53,4.44,3.24,3.39,4.42,2.13,2.97,3.96,4.06,2.66,4.03,1.95,2.62,5.15,0.82,1.48,2.14,2.04,0.82,1.34,0.91,3.84,1.54,2.30,1.78,3.85
February,2.49,1.07,2.12,1.40,1.81,1.41,3.63,1.70,1.37,0.93,1.79,3.21,3.09,1.16,2.23,1.76,1.05,0.22,2.76,6.66,1.30,3.78,2.22,1.46,2.13,1.18,1.39,2.83,0.78,6.29,2.21,3.07,2.30,4.33,1.24,1.34,1.46,,1.81,0.65,2.33,2.01,1.22,3.27,1.42,0.76,3.69,2.22,0.72,1.92,2.22,2.16,1.48,2.30,3.74,0.62,2.28
March,1.72,2.32,2.02,1.55,3.32,4.64,0.79,1.99,3.69,2.37,2.53,1.07,2.98,1.84,1.35,3.03,1.88,1.19,2.33,1.96,1.72,1.38,1.14,2.24,3.14,0.47,2.56,0.97,2.47,2.68,2.28,0.84,1.55,3.36,0.21,2.38,0.69,,1.81,0.47,0.49,0.41,1.36,4.71,1.02,1.32,1.19,3.28,2.11,0.14,1.40,1.65,0.99,1.90,2.71,1.27,0.79
April,2.52,2.92,1.43,1.85,2.45,3.49,2.43,0.85,0.18,2.77,0.73,1.16,1.71,2.31,1.10,1.58,3.99,1.67,1.71,1.66,2.12,2.45,1.07,1.94,1.06,1.36,2.53,3.16,1.81,1.65,2.63,3.11,1.45,3.24,0.09,1.42,0.42,1.64,1.74,1.28,2.34,1.67,2.24,2.32,0.77,1.76,2.03,1.10,1.57,2.45,0.08,1.09,1.15,0.25,0.86,3.08,1.18
May,3.38,1.28,2.51,5.05,1.56,1.74,3.86,1.77,2.58,2.12,1.73,1.44,3.06,1.75,2.69,0.69,2.33,1.76,1.27,2.85,4.94,3.81,2.64,1.10,1.62,1.80,1.38,2.77,6.06,2.99,1.28,1.24,2.00,2.92,3.35,1.27,1.86,1.62,2.71,2.57,0.86,1.46,1.77,2.27,1.59,1.67,1.53,3.52,1.10,1.79,3.49,1.95,0.70,1.19,2.51,0.63,1.06
June,0.83,1.10,0.86,3.52,1.21,3.84,1.95,4.04,6.75,1.63,2.34,0.27,2.48,1.91,0.90,1.06,0.89,0.10,2.42,0.63,1.39,0.09,4.87,3.99,4.49,1.87,2.39,4.43,0.56,3.67,1.64,3.10,4.23,1.93,2.12,2.46,0.60,0.30,0.74,1.85,2.91,2.17,2.39,1.92,4.57,0.61,1.31,1.30,1.49,1.79,1.66,2.00,2.64,1.85,2.95,1.64,0.42
July,1.32,1.30,1.52,2.15,2.71,3.50,2.96,1.60,3.63,0.21,6.07,7.00,2.55,1.21,3.56,2.61,6.58,1.84,5.32,5.01,3.36,1.31,2.22,3.70,1.40,1.82,4.00,3.99,3.86,2.12,2.85,0.69,3.21,1.51,2.90,3.41,4.30,2.69,2.64,0.93,3.23,1.29,2.82,2.25,1.32,1.58,2.37,2.38,1.20,2.30,2.07,1.21,4.60,2.79,2.30,2.02,4.54
August,3.72,3.93,2.95,2.39,2.13,3.46,3.51,3.66,4.62,1.51,1.59,3.61,2.29,6.61,2.08,2.41,1.71,4.40,2.39,4.52,2.75,2.54,3.14,6.43,4.36,3.09,3.67,2.66,2.08,0.70,3.04,2.16,3.74,1.71,2.25,1.87,0.61,2.92,2.54,3.19,3.70,3.31,2.88,0.13,2.83,1.94,5.06,6.00,1.83,3.48,4.31,0.49,7.13,4.33,1.86,0.28,1.94
September,1.81,2.42,0.70,0.89,2.79,1.78,0.53,2.91,1.81,0.84,1.62,1.32,0.73,0.81,6.32,1.12,1.33,1.16,2.40,4.05,2.57,3.13,1.31,5.78,0.58,0.59,3.35,4.53,2.85,1.76,1.57,4.92,2.17,1.64,2.60,0.79,1.76,0.54,1.92,3.65,3.97,1.45,4.70,1.35,1.22,0.69,3.04,1.73,3.64,1.22,1.87,1.11,1.89,3.13,2.16,0.25,2.74
October,0.75,2.28,5.28,4.29,1.18,3.41,2.62,2.72,3.35,2.93,2.10,1.13,3.45,3.41,1.43,3.87,2.36,1.95,1.06,2.31,4.64,3.28,3.21,2.54,4.38,2.80,2.37,1.58,3.80,4.87,1.72,3.59,1.96,3.18,4.30,3.04,2.93,3.77,2.07,1.55,2.45,2.18,0.67,0.50,0.96,2.39,1.48,1.41,2.29,1.80,3.19,1.75,1.11,2.79,1.59,1.40,5.45
