ILMINSTER LAUREL BANK,,,,,,,,,,,,
Grid ref,ST363145,Long,-2.907721,Lat,50.926421,,,,,,,
Station no,RR6853,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.88,5.16,1.14,0.52,1.40,,
February,,,,,,0.65,2.94,1.38,1.74,0.48,,
March,,,,,,4.80,1.21,0.71,3.56,3.85,,
April,,,,,,1.95,0.87,4.98,1.55,2.55,,
May,,,,,,0.76,2.01,2.93,1.93,1.31,,
June,,,,,,3.08,2.51,1.85,0.28,3.48,,
July,,,,,,,1.08,1.67,1.51,2.33,,
August,,,,,,4.22,1.42,1.19,2.92,1.86,,
September,,,,,,1.74,0.80,0.38,2.15,2.38,,
October,,,,,,1.06,5.09,7.73,3.32,5.41,,
November,,,,,,5.18,3.31,3.50,1.35,0.63,,
December,,,,,,1.03,1.42,4.74,3.14,4.85,,
Total,,,,,,25.35,27.82,32.20,23.97,30.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.35,27.82,32.20,23.97,30.53,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,,
