IPSWICH-ALL-SAINTS-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM154451,Long,1.1408765,Lat,52.062377,Elevation,54,ft,,,,,,,,,,,,,
Station no,1344,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.24,1.45,3.1,1.82,1.76,1.61,0.66,0.77,1.11,,,,,,
February,,,,,,,1.85,2.41,1.09,0.42,0.76,2.51,0.47,1.3,0.38,,,,,,
March,,,,,,,0.17,2.31,2.31,0.03,1.43,0.28,1.06,1.83,1.99,,,,,,
April,,,,,,,3.67,1.98,1.05,1.67,1.61,3.11,2.13,0.93,2.7,,,,,,
May,,,,,,,1.28,0.66,1.99,1.11,2.01,2.55,3.42,0.85,1.45,,,,,,
June,,,,,,,2.09,3.66,2.32,0.7,0.95,1.39,0.54,2.12,0.95,,,,,,
July,,,,,,,1.97,3.34,1.9,2.61,4.84,3.26,2.18,0.77,1.64,,,,,,
August,,,,,,,1.28,3.94,2.78,1.13,2.18,2.78,1.02,1.12,1.54,,,,,,
September,,,,,,,1.07,3.21,0.88,0.86,5.43,2.1,1.32,2.67,1.38,,,,,,
October,,,,,,,3.25,2.02,1.85,2.65,0.73,0.78,4.72,1.84,1.49,,,,,,
November,,,,,,,3.79,2.71,1.65,3.69,3.17,1.64,1.23,2.02,1.59,,,,,,
December,,,,,,,0.59,2.15,3.92,3.78,2.17,0.64,0.35,0.5,3.57,,,,,,
Total,,,,,,,23.25,29.84,24.84,20.47,27.04,22.65,19.1,16.72,19.79,,,,,,
