"KENDAL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR390,,,,,,,,,,,
,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,,
January,,,,,,,,,5.62,7.34,,
February,,,,,,,,,3.31,8.92,,
March,,,,,,,,,2.82,1.35,,
April,,,,,,,,,2.90,4.78,,
May,,,,,,,,,1.19,5.39,,
June,,,,,,,,,2.31,4.31,,
July,,,,,,,,,7.03,6.39,,
August,,,,,,,,,3.09,1.56,,
September,,,,,,,,,4.68,5.44,,
October,,,,,,,,,2.12,6.86,,
November,,,,,,,,,3.05,5.45,,
December,,,,,,,,,1.14,12.05,,
Total,,,,,,,,,39.26,69.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.26,69.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
