"KENILWORTH (U.D.C. OFFICES)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2459/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.86,2.93,4.12,2.00,1.59,1.93,2.03,3.98,1.30,0.50,,
February,2.94,0.90,1.15,1.10,2.11,1.99,1.34,0.98,0.81,4.65,,
March,2.01,1.90,0.74,0.17,0.86,0.84,5.67,0.97,1.78,1.27,,
April,1.10,1.39,0.68,1.87,0.57,2.35,1.95,1.44,1.98,2.10,,
May,2.24,3.58,2.73,1.19,2.17,2.17,1.82,3.13,2.26,1.97,,
June,1.28,0.29,2.94,2.32,2.65,2.67,0.83,2.36,0.44,1.87,,
July,3.74,1.28,0.87,2.11,1.86,2.21,2.33,2.06,3.61,2.40,,
August,2.55,2.25,1.55,2.18,1.86,4.99,0.05,6.28,1.28,2.79,,
September,0.19,0.83,1.69,3.50,1.53,2.52,1.73,3.12,1.84,4.09,,
October,2.44,2.43,2.31,2.21,3.08,0.55,0.14,2.40,6.82,0.72,,
November,2.69,1.43,1.38,3.83,0.28,5.34,1.54,1.52,2.54,4.38,,
December,1.36,2.86,0.77,1.12,3.15,2.11,1.81,3.21,1.27,1.48,,
Total,25.40,22.07,20.93,23.60,21.71,29.67,21.24,31.45,25.93,28.22,,
Calc annual,25.40,22.07,20.93,23.60,21.71,29.67,21.24,31.45,25.93,28.22,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
