"KILDALE HALL",,,,,,,,,,,,
Grid ref,NZ611095,Long,-1.058588,Lat,54.477188,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.35,0.46,3.47,1.07,1.89,0.83,,
February,,,,,2.47,1.57,2.17,1.66,2.00,1.73,,
March,,,,,2.14,1.96,2.35,0.78,3.32,4.87,,
April,,,,,1.64,3.17,1.13,3.06,3.94,2.53,,
May,,,,,4.56,1.42,4.93,4.08,1.92,1.71,,
June,,,,5.35,1.58,1.16,1.27,2.99,0.97,4.96,,
July,,,,4.93,4.10,1.28,1.43,2.71,2.77,3.63,,
August,,,,2.36,3.34,3.22,2.59,2.29,3.12,5.36,,
September,,,,3.50,2.08,3.82,0.72,0.66,2.16,3.96,,
October,,,,9.10,0.62,4.15,6.55,5.58,1.50,3.29,,
November,,,,2.08,2.89,6.91,5.14,3.13,1.56,2.18,,
December,,,,2.44,3.04,0.57,2.71,4.18,1.35,4.47,,
Total,,,,,30.81,29.69,34.46,32.19,26.50,39.52,,
Calc annual,0.00,0.00,0.00,29.76,30.81,29.69,34.46,32.19,26.50,39.52,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
