"LIBERTON (ALNWICK HILL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5135,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.98,4.59,1.94,1.61,2.32,3.42,2.96,2.28,5.48,0.81,3.20,
February,2.91,0.65,2.13,2.66,0.64,3.49,2.79,1.02,2.69,0.61,0.42,
March,2.20,2.24,1.80,0.92,1.15,2.25,1.69,1.66,1.78,0.30,2.32,
April,1.64,0.66,1.20,2.02,1.23,3.67,1.80,1.43,0.66,1.57,1.07,
May,2.35,1.51,0.85,1.88,4.20,4.14,3.07,1.27,1.35,1.60,1.08,
June,0.88,0.31,1.75,1.04,1.93,0.41,2.89,3.37,5.09,2.64,1.69,
July,4.40,2.31,3.33,2.94,4.12,2.05,2.51,3.39,2.06,2.05,3.17,
August,6.13,3.92,1.49,3.92,2.09,3.60,1.92,6.60,4.49,3.97,4.97,
September,0.98,1.77,1.73,1.66,2.82,4.14,3.78,8.81,2.10,0.25,4.68,
October,0.94,3.82,1.97,1.88,3.21,1.89,3.51,3.00,2.94,2.89,3.09,
November,2.29,1.07,1.26,3.02,1.08,0.62,3.17,1.57,2.88,3.63,4.11,
December,2.23,3.23,2.55,2.65,2.94,3.83,0.58,1.55,1.89,3.91,1.68,
Total,29.93,26.08,22.00,26.20,27.73,33.51,30.67,35.95,33.41,24.23,31.48,
Calc annual,29.93,26.08,22.00,26.20,27.73,33.51,30.67,35.95,33.41,24.23,31.48,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
