"LILLIESLEAF RIDDELL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR3036,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,1.09,3.17,3.10,1.25,1.38,1.10,3.57,,
February,,,,2.83,5.86,0.68,1.48,1.73,1.50,2.05,,
March,,,,1.01,1.31,3.44,2.56,3.72,1.23,2.92,,
April,,,,0.87,1.39,1.46,0.82,1.47,3.29,2.69,,
May,,,,1.96,4.67,0.80,0.78,1.45,1.59,3.00,,
June,,,,2.14,3.46,2.42,2.28,3.35,1.69,1.68,,
July,,,1.63,2.20,1.87,5.19,3.68,2.47,0.85,3.15,,
August,,,3.96,2.43,4.51,4.37,1.72,3.95,1.89,1.13,,
September,,,1.67,1.16,0.89,0.38,5.42,2.84,1.32,3.39,,
October,,,4.35,1.82,2.93,5.57,4.27,1.80,4.09,1.71,,
November,,,1.49,2.23,2.90,3.74,1.04,2.08,3.19,3.75,,
December,,,1.38,4.10,2.20,2.35,4.79,4.62,3.05,2.60,,
Total,,,,23.84,35.16,33.50,30.09,30.86,24.79,31.64,,
Calc annual,0.00,0.00,14.48,23.84,35.16,33.50,30.09,30.86,24.79,31.64,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
