"LINCHMERE BORDEN WOOD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4898,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.36,4.76,5.78,2.11,3.04,,,,,,,
February,0.76,0.17,4.11,6.33,0.59,,,,,,,
March,3.32,1.81,3.20,2.19,1.83,,,,,,,
April,3.79,0.92,4.33,3.75,3.63,,,,,,,
May,1.44,2.17,1.18,2.31,4.56,,,,,,,
June,1.75,0.08,1.66,0.44,3.49,,,,,,,
July,5.52,0.45,4.74,0.98,4.46,,,,,,,
August,1.48,3.04,3.44,2.48,3.33,,,,,,,
September,2.88,1.02,2.18,2.07,4.44,,,,,,,
October,3.25,0.91,1.18,7.23,4.21,,,,,,,
November,2.18,2.74,2.49,1.88,3.27,,,,,,,
December,4.63,2.57,5.39,3.73,6.36,,,,,,,
Total,36.36,20.64,39.68,35.50,43.21,,,,,,,
Calc annual,36.36,20.64,39.68,35.50,43.21,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
