"LINCOLN BRANSTON HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1038,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.90,1.27,2.85,2.83,0.84,,,,,,,
February,1.92,0.83,1.20,0.55,0.75,,,,,,,
March,0.49,1.00,2.03,2.43,1.83,,,,,,,
April,1.79,1.04,0.20,1.75,0.89,,,,,,,
May,2.48,1.09,2.34,1.50,1.56,,,,,,,
June,1.68,2.56,3.23,0.53,1.60,,,,,,,
July,3.12,0.14,2.73,0.39,2.88,,,,,,,
August,3.05,1.21,5.03,0.87,1.45,,,,,,,
September,0.25,1.70,1.03,1.35,0.67,,,,,,,
October,2.27,1.89,1.90,3.43,2.07,,,,,,,
November,2.36,2.02,2.08,1.83,1.99,,,,,,,
December,2.12,3.27,2.50,0.72,3.19,,,,,,,
Total,23.43,18.02,27.12,18.18,19.72,,,,,,,
Calc annual,23.43,18.02,27.12,18.18,19.72,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
