LLANFYNACH-TY-MAWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO076258,Long,-3.3450413,Lat,51.923026,Elevation,450,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,0.95,2.81,0.99,8.84,5.16,3.94,2.02,7.38,8.14,1.8,8.15,2.28,1.62,2.05,4.58,1.34,5.58,6.84,2.45,4.7,2.4,1.57,5.16,,5.71,5.66,5.37,2.92,6.57,6.17,6.5,7.01,7.07,1.32,8.44,3.8,7.3,5.21,5.05,1.36,7.51,9.09,5.69,7.17,2.77,4.5,4.46,,5.4,3.39,5.48,5.75,10.27,1.56,1.26,5.25,5.51,1.71,3.38,4.67,6.31,5.36,5.28,8.14,
February,,,,,,,0.76,2.69,2.54,7.5,7.15,1.65,1.73,4.96,6.53,1.99,3.63,2.16,2.09,0.91,7.9,2.64,3.9,2.76,8.6,9.56,5.29,0.82,2.85,,1.96,0.25,6.3,12.06,0.62,8.89,3.05,3.79,2.88,1.03,0.54,2.5,0.21,3.57,0.69,3.9,2.87,7.54,1.44,4.35,3.17,4.72,0.38,3.46,1.15,3.13,3.18,2.74,2.89,1.42,6.46,6.64,1.34,2.19,5.58,2.74,0.75,7.75,9.42,0.35,
March,,,,,,,4.72,7.05,1.28,2.08,1.42,6.4,2,11.05,2.38,7.23,2.71,2.12,5.3,4.26,2.31,1.65,7.96,8.69,6.67,0.49,3.29,3.16,1.87,,7.63,5.24,5.35,1.6,1.87,1.1,0.79,4.01,4.58,0.55,3.34,0.94,2.69,4.19,3.14,1.1,3.46,4.1,0.28,2.71,3.28,4.64,3.34,1,0.92,2.9,1.24,9.66,1.93,1.43,3.51,5.99,3.12,3.01,5.66,3.91,2.34,4.93,1.62,5.48,
April,,,,,,,0.63,3.47,3.25,3.86,1.71,4.61,2.4,1.81,2.33,5.46,0.83,2.67,2.4,3.98,3.74,2.29,0.14,6.87,1.81,1.11,1.91,2.15,1.82,,8.29,0.97,3.34,3.61,3.14,2.42,3.62,1.47,0.87,0.79,4.84,3.7,4.53,0.79,3.17,5.08,2.54,2.71,0.08,4.49,3.63,1.14,2.9,1.5,1.81,0.89,1.54,5.38,3.01,4.2,3.43,3.71,4.3,5.02,0.72,1.59,1.93,0.09,0.88,6.54,
May,,,,,,,0.24,2.11,3.99,2.98,4.06,1.21,2.58,4.22,2.55,0.29,2.66,4.07,2.31,2.03,2.37,2.03,-999,2.2,2.15,3.24,3.59,4.6,2.12,,3.17,1.44,0.85,3.09,4.33,4.71,1.85,2.59,0.84,4.54,1.36,3.86,5.42,2.02,2.84,1.27,2.35,1.43,2.95,0.68,1.47,2.48,6.81,,1.13,4.23,4.71,3.11,3.66,3.94,2.24,3.78,5.91,3.07,3.52,6.99,0.82,3.3,4.45,1.99,
June,,,,,,1.2,3.86,2.3,2.24,1.77,1.87,2.14,3.27,2.17,1.46,3.5,2.52,3.62,1.28,3.14,6.11,1.28,-999,1.86,2.44,1.88,1.66,2.84,1.16,,3.98,0.02,0.6,0.58,2.17,0,2.5,3.84,3.7,2.58,0.86,3.48,1.84,5.1,1.49,4.36,4.44,1.11,2.74,2.34,0.85,1.68,0.4,,2.38,4.22,3.57,1.98,4.9,0.82,1.91,0.95,3.51,1.58,6.6,6.97,2.99,1.15,2.96,1.88,
July,,,,,,3.82,1.49,2.44,0.91,0.97,2.7,1.76,1.46,2.48,3.27,0.85,0.71,3.42,2.74,1.61,3.13,0.57,3.99,1.37,4.67,4.38,1.35,2.68,4.01,,5.2,1.98,5.65,2.53,5.69,2.63,2.99,4.01,1.94,2.42,3.84,3.26,3.36,2.49,2.4,0.45,6.68,3.99,3.2,7.7,3.91,3.36,2.97,2.27,1.89,2.77,2.04,2.12,1.36,1.09,4.89,1.02,2.09,3.75,2.31,3.16,4.09,4.19,3.11,4.33,
August,,,,,,3.44,1.88,4.59,3.46,0.98,4.68,2.75,2.12,4.95,3.65,5.53,2.67,2.65,4.31,1.71,5.01,2.33,9.88,2.29,2.6,2.27,3.29,9.69,1.6,,1.51,4.84,3.16,2.97,4.14,2.9,2.46,5.12,3.29,1.28,3.71,4.52,2.09,0.34,3.25,1.69,0.4,1.39,3.73,2.55,0.24,4.57,5.41,3.02,3.83,4.26,8.45,0.7,4.39,1.84,7.54,5.28,6.97,2.96,4.18,1.41,4.63,4.43,4.15,1.77,
September,,,,,,1.05,7.84,4.09,0.97,2.67,1.06,2.6,2.84,4.69,1.96,2.45,1.05,0.67,3.31,2.04,0.39,2.19,0.85,3.26,1.57,0.77,2.12,2.58,7.72,,3.66,1.63,2.32,3.27,6.24,4.08,1.32,4.38,1.68,1.82,5.8,1.61,5.24,2.4,2.39,4.05,3.66,2.78,1.58,0.65,2.28,0.82,3.38,5.23,3,2.54,6.31,2.2,4.79,2.3,5.86,6.05,3.13,5.05,4.81,2.27,5.44,7.54,9.66,0.49,
October,,,,,,4.04,5.67,3.09,6.5,4,4.98,2.87,3.57,11.77,1.19,2.96,5.84,7.76,4.49,7.08,2.9,4.21,5.14,7.24,2.1,3.26,10.44,6.93,2.68,,3.51,1.49,1.18,8.39,5.03,6.9,4.19,2.56,7.3,6.92,5.09,0.64,8.05,6.88,3.73,5.4,2.41,3.48,5.36,3.59,5.6,4.52,2.78,,6.36,7.72,1.51,0.84,3.6,7.66,3,1.16,6.56,4.21,7.47,3.77,3.59,2.77,5.85,5.49,
