LLANVIHANGEL-COURT-NO-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO328202,Long,-2.9775706,Lat,51.876301,Elevation,508,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,4.86,2.76,2.74,2.95,4.11,6.72,0.54,3.09,0.47,5.81,4.61,3.24,1.32,4.91,,,,,,
February,,,,,,,,,,,1.16,0.08,3.25,5.24,3.02,0.09,0.54,2.66,1.87,4.99,7.59,1.58,2.29,3.19,,,,,,
March,,,,,,,,,,,1.83,2.33,1.16,0.17,2.27,3.48,2.96,5.77,1.16,0.88,1.48,3.18,1.85,5.53,,,,,,
April,,,,,,,,,,,1.36,2.53,1.15,0.28,2.85,2.73,0.73,3.4,3.08,3.56,1.34,4.28,2.94,2.69,,,,,,
May,,,,,,,,,,,2.64,3.88,1.98,3.99,3.25,0.4,0.61,1.38,4.49,2.77,2.64,1.17,1.75,,,,,,,
June,,,,,,,,,,0.6,2.43,3.37,2.7,1.34,1.83,0.86,2.87,3.99,1.67,2.24,1.59,1.92,2.71,3.31,,,,,,
July,,,,,,,,,,5.95,2.04,1.6,2.92,3.82,4.98,3.79,1.37,1.3,1.18,0.74,2.13,2.53,1.62,2.54,,,,,,
August,,,,,,,,,,2.91,3.86,5.31,3.64,2.26,3.39,3.09,2.34,5.38,1.93,1.51,3.68,1.84,4.06,5.13,,,,,,
September,,,,,,,,,,1.85,1.85,1.75,2.44,1.34,4.5,1.12,6.66,3.58,0.9,3.77,0.56,2.72,3.51,,,,,,,
October,,,,,,,,,,3.64,1.24,10.15,2.89,2.3,5.83,3.53,3.62,2.46,6.19,3.42,4.95,2.17,3.88,,,,,,,
November,,,,,,,,,,1.52,3.91,4.98,3.06,1.87,5.59,8.06,0.91,2.21,3.55,3.37,3.79,1.4,5.67,,,,,,,
December,,,,,,,,,,1.33,1.56,5.19,1.63,5.67,3.08,3.74,5.55,7.46,4.46,3.65,7.16,5.86,2.55,,,,,,,
Total,,,,,,,,,,,28.74,43.93,29.56,31.23,44.7,37.61,28.7,42.68,30.95,36.71,41.52,31.89,34.15,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Llanvhangel Court. Altitudes match. The 1900s records do not distinguish between gauges 1 and 2 and the sheets may be the other way round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
