"LOCH BRADAN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5266,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.93,11.63,5.93,6.21,6.97,5.60,9.17,6.49,15.19,3.29,6.56,
February,5.74,1.95,5.03,6.62,1.23,5.93,5.73,3.58,5.83,2.37,0.45,
March,7.13,10.51,2.32,2.33,1.28,2.96,5.03,5.39,8.54,0.95,3.50,
April,3.58,2.88,4.43,3.05,3.19,6.37,3.70,4.49,2.17,2.08,2.50,
May,6.88,3.34,3.96,3.85,5.27,6.79,4.03,3.88,2.24,5.58,2.45,
June,3.05,1.83,5.13,3.85,3.04,0.83,3.62,5.07,6.27,3.10,2.55,
July,4.35,5.22,3.93,4.97,4.83,3.19,4.18,6.19,3.58,5.20,5.65,
August,5.63,6.82,4.16,8.59,6.43,4.61,4.61,6.29,6.77,6.25,9.20,
September,3.15,3.15,3.23,9.08,9.82,4.97,4.27,8.13,4.11,3.40,4.85,
October,5.65,6.27,3.17,8.97,4.07,7.71,6.27,7.05,11.17,8.65,9.45,
November,4.28,3.87,4.21,7.15,3.17,2.19,6.98,6.69,8.82,9.90,7.55,
December,4.25,10.13,4.68,6.15,7.51,6.79,4.39,2.68,5.71,13.17,6.75,
Total,61.62,67.60,50.18,70.82,56.81,57.94,61.98,65.93,80.40,63.94,61.46,
Calc annual,61.62,67.60,50.18,70.82,56.81,57.94,61.98,65.93,80.40,63.94,61.46,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
