"LOCHLUICHART (EAST)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5773/4,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.61,3.03,2.55,7.21,5.41,4.59,3.54,5.59,9.02,5.84,,
February,3.63,2.90,6.19,3.54,5.22,6.51,0.77,4.68,6.81,4.62,,
March,2.75,0.70,3.70,3.42,3.06,2.03,2.01,3.86,3.63,2.41,,
April,1.50,2.23,4.43,2.10,2.86,2.77,7.22,3.50,4.35,6.99,,
May,2.37,2.58,2.84,3.69,2.14,1.32,1.46,2.98,2.02,2.22,,
June,0.57,2.20,1.85,4.22,3.62,4.49,3.03,2.54,1.52,2.76,,
July,2.34,2.56,2.95,1.20,2.86,4.51,3.15,1.92,1.70,3.92,,
August,4.46,3.05,3.61,2.15,1.77,2.66,0.41,4.25,4.46,5.13,,
September,0.95,4.11,2.76,4.35,4.99,6.37,5.23,3.47,1.59,8.31,,
October,5.69,6.87,4.82,4.89,4.02,0.66,1.95,5.22,2.14,4.59,,
November,4.51,1.77,5.36,5.09,0.45,4.54,8.17,4.32,3.80,4.43,,
December,5.50,4.75,3.13,5.64,4.59,3.38,4.33,6.51,12.73,3.54,,
Total,36.88,36.75,44.19,47.50,40.99,43.83,41.27,48.84,53.77,54.76,,
Calc annual,36.88,36.75,44.19,47.50,40.99,43.83,41.27,48.84,53.77,54.76,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
