LOCH SLOY (COIREGROGAIN),,,,,,,,,,,,,,,,,,,,
Grid ref,NN300093,Long,-4.745106,Lat,56.245721,Elevation,449,ft,,,,,,,,,,,,
Station no,5333/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,14.33,13.16,17.1,10.39,14.22,9.08,10.89,13.14,7.32,9.2,16.81,15.33,5.74,
February,,,,,,,0.85,15.05,17.33,12.81,7.15,4.46,7.97,8.52,5,5.12,8.49,6.37,6.12,
March,,,,,,,5.76,13.39,6.49,9.47,6.56,10.05,4.43,8.37,3.17,6.27,11.99,3.28,8.93,
April,,,,,,,19.61,10.05,16.3,8.88,9.68,5.46,6.68,5.39,7.33,4.42,5.68,5.4,7.71,
May,,,,,,,5.8,3.64,5.43,3.43,2.57,2.59,6.18,5.33,6.44,7.91,4.74,8.13,3.04,
June,,,,,,11.41,7.03,9.87,3.14,5.47,4.08,8.03,2.45,7.78,6.27,7.44,4.11,3.62,6.64,
July,,,,,,10.78,8.85,8.67,4.64,14.08,7.89,5.79,10.59,6.49,1.52,8.94,10.65,6.66,11.47,
August,,,,,,8.36,0.03,13.63,9.03,13.21,11.34,8.5,8.88,9.59,2.3,10.19,10.39,10.72,5.58,
September,,,,,,17.22,13.8,17.06,4.4,25.2,9.33,6.57,13.58,16.45,11.44,10.95,8.77,9.63,3.21,
October,,,,,,0.95,5.93,20.53,16.69,14.62,3.72,11.94,7.51,19.47,10.19,8.64,14.57,11.98,13.39,
November,,,,,,13.32,18.93,10.5,13.89,7.35,16.74,3.73,22.32,19,5.81,8.16,5.74,3.86,13.25,
December,,,,,,13.66,5.32,19.44,23.84,5.5,19.36,11.09,12.73,27.33,21.14,21.18,16.07,9.95,18.15,
Total,,,,,,,106.24,154.99,138.28,130.41,112.64,87.29,114.21,146.86,87.93,108.42,118.01,94.93,103.23,
,,,,,,,,,,,,,,,,,,,,
Station no,5333/1,,,,,,,,,,,,,,,,,,,
Midas,13729,,,,,,,,,,,,,,,,,,,
Hyd Stn,662163,,,,,,,,,,,,,,,,,,,
