"ST MARYLEBONE, 33, HAMILTON TERRACE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2315,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,3.96,2.05,0.63,3.79,1.01,1.33,2.54,3.16,,
February,,,1.38,0.78,2.36,3.19,3.11,0.80,1.00,2.07,,
March,,,2.76,2.16,3.86,0.81,4.27,1.50,0.96,3.41,,
April,,,0.05,2.67,0.81,1.20,1.31,2.34,3.34,3.11,,
May,,,0.72,1.55,1.08,3.73,1.96,2.00,2.01,0.67,,
June,,,3.32,0.50,1.84,0.63,2.13,4.25,1.12,1.69,,
July,,,0.87,1.66,1.31,3.95,1.64,4.26,5.06,2.37,,
August,,,4.54,1.32,1.55,3.05,4.36,3.88,1.73,2.39,,
September,,,0.59,1.67,0.93,2.29,1.52,2.14,5.90,1.57,,
October,,,3.76,3.11,0.92,1.86,3.15,3.23,1.40,0.73,,
November,,,1.55,2.14,3.38,1.93,3.77,1.61,2.18,1.28,,
December,,,2.49,0.74,6.01,5.67,2.20,1.14,2.32,2.92,,
Total,,,25.99,20.35,24.68,32.10,30.43,28.48,29.56,25.37,,
Calc annual,0.00,0.00,25.99,20.35,24.68,32.10,30.43,28.48,29.56,25.37,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
