Rainfall at,LONDONDERRY (CREGGAN RESERVOIR)
,
Station no,6245,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.51,5.86,4.52,5.38,4.64,4.43,3.14,5.86,5.74,4.42,
February,3.01,2.53,4.13,2.75,3.70,4.39,1.11,3.15,4.17,3.60,
March,3.54,2.91,2.03,1.94,2.12,1.90,3.99,3.04,3.39,2.31,
April,1.90,1.67,3.32,2.65,1.59,1.69,4.53,3.42,5.10,5.75,
May,2.77,3.67,3.86,4.06,4.96,1.84,4.08,2.03,3.33,1.64,
June,0.91,0.99,4.12,4.05,4.74,5.89,4.16,3.78,1.81,2.58,
July,5.07,4.87,3.39,3.46,5.44,4.21,4.37,4.80,2.49,6.55,
August,5.76,6.92,7.16,2.69,1.78,5.78,0.49,4.72,3.76,4.61,
September,1.30,7.92,4.34,6.22,3.40,6.52,3.99,6.16,2.34,8.41,
October,5.18,5.36,3.89,5.73,6.20,1.41,2.40,4.56,5.84,4.30,
November,3.85,2.39,5.42,5.73,0.74,3.93,8.01,3.30,5.27,3.37,
December,3.07,5.69,3.37,5.11,3.86,5.85,3.41,6.16,7.04,5.17,
Total,37.87,50.78,49.55,49.77,43.17,47.84,43.68,50.98,50.28,52.71,
Calc annual,37.87,50.78,49.55,49.77,43.17,47.84,43.68,50.98,50.28,52.71,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,
