ULCOMBE PLACE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6366,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.81,1.99,2.88,1.34,2.26,,,,,,,
February,0.54,1.35,1.69,3.37,1.02,,,,,,,
March,1.24,1.03,1.86,1.93,1.59,,,,,,,
April,2.71,1.64,2.07,2.22,3.34,,,,,,,
May,1.23,1.29,0.60,2.94,4.29,,,,,,,
June,0.96,0.09,1.46,0.78,1.69,,,,,,,
July,3.91,0.28,2.43,0.82,3.35,,,,,,,
August,1.34,1.22,2.12,1.06,2.41,,,,,,,
September,3.47,0.92,3.57,1.64,2.12,,,,,,,
October,1.38,2.05,2.03,5.84,3.63,,,,,,,
November,1.12,1.93,1.07,2.06,3.07,,,,,,,
December,2.32,1.66,2.51,2.38,3.23,,,,,,,
Total,23.03,15.45,24.29,26.38,32.00,,,,,,,
Calc annual,23.03,15.45,24.29,26.38,32.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
